token,count,category,proposed_modern_form,confidence,notes
macatapos,3,A,makatapos,Medium,Archaic intervocalic c
compas,3,A,kompas,Medium,Archaic ca/co/cu start
casucalan,3,A,kasukalan,Medium,Archaic ca/co/cu start
macacasumpong,3,A,makakasumpong,Medium,Archaic intervocalic c
capapahirap,3,A,kapapahirap,Medium,Archaic ca/co/cu start
cagalang,3,A,kagalang,Medium,Archaic ca/co/cu start
masoc,3,A,masok,Medium,Archaic ending -c
matacpan,3,E,,Medium,Uncertain
calaban,3,A,kalaban,Medium,Archaic ca/co/cu start
Crisostomong,3,C,,High,Proper Noun (Contains c)
luclucan,3,A,luklukan,Medium,Archaic intervocalic c
caputol,3,A,kaputol,Medium,Archaic ca/co/cu start
franciscano'y,3,B,,Medium,Spanish/Foreign pattern (ce/ci)
yumuyucod,3,A,yumuyukod,Medium,Archaic intervocalic c
angcan,3,E,,Medium,Uncertain
bacahin,3,A,bakahin,Medium,Archaic intervocalic c
cubierto,3,A,kubierto,Medium,Archaic ca/co/cu start
caligaligaya,3,A,kaligaligaya,Medium,Archaic ca/co/cu start
Carvajal,3,C,,High,Proper Noun (Capitalized ca/co/cu)
hinahagcan,3,E,,Medium,Uncertain
cathang,3,A,kathang,Medium,Archaic ca/co/cu start
pacong,3,A,pakong,Medium,Archaic intervocalic c
Pagdaca'y,3,C,,High,Proper Noun (Contains c)
macalilibong,3,A,makalilibong,Medium,Archaic intervocalic c
ipacacasal,3,A,ipakakasal,Medium,Archaic intervocalic c
relicario,3,A,relikario,Medium,Archaic intervocalic c
cuminang,3,A,kuminang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Tercera,3,C,,High,Proper/Spanish
caguinoohan,3,A,kaguinoohan,Medium,Archaic ca/co/cu start
procesio'y,3,B,,Medium,Spanish/Foreign pattern (ce/ci)
sicmura,3,E,,Medium,Uncertain
aantoc,3,A,aantok,Medium,Archaic ending -c
Alcala,3,C,,High,Proper Noun (Contains c)
batoc,3,A,batok,Medium,Archaic ending -c
cunuwa'y,3,A,kunuwa'y,Medium,Archaic ca/co/cu start
confesionario,3,A,konfesionario,Medium,Archaic ca/co/cu start
cataastaasang,3,A,kataastaasang,Medium,Archaic ca/co/cu start
naglilingcod,3,E,,Medium,Uncertain
caalaban,3,A,kaalaban,Medium,Archaic ca/co/cu start
Carilagdilagang,3,C,,High,Proper Noun (Capitalized ca/co/cu)
Casaysayan,3,C,,High,Proper Noun (Capitalized ca/co/cu)
maglalaco,3,A,maglalako,Medium,Archaic intervocalic c
nagwiwicang,3,A,nagwiwikang,Medium,Archaic intervocalic c
mapagpacumbabang,3,A,mapagpakumbabang,Medium,Archaic intervocalic c
cauculang,3,A,kaukulang,Medium,Archaic ca/co/cu start
iyacan,3,A,iyakan,Medium,Archaic intervocalic c
utac,3,A,utak,Medium,Archaic ending -c
cumapit,3,A,kumapit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacocoronahan,3,A,nakokoronahan,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pumucaw,3,A,pumukaw,Medium,Archaic intervocalic c
sacunang,3,A,sakunang,Medium,Archaic intervocalic c
catiyagaan,3,A,katiyagaan,Medium,Archaic ca/co/cu start
macapagpasiya,3,A,makapagpasiya,Medium,Archaic intervocalic c
cajang,3,A,kajang,Medium,Archaic ca/co/cu start
Escribano,3,C,,High,Proper Noun (Contains c)
nacaligtas,3,A,nakaligtas,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
capintasan,3,A,kapintasan,Medium,Archaic ca/co/cu start
cucunin,3,A,kukunin,Medium,Archaic ca/co/cu start
cumare,3,A,kumare,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nangagsisiimic,3,A,nangagsisiimik,Medium,Archaic ending -c
caimbihan,3,A,kaimbihan,Medium,Archaic ca/co/cu start
pinacamamahal,3,A,pinakamamahal,Medium,Archaic intervocalic c
mayacap,3,A,mayakap,Medium,Archaic intervocalic c
franciscano't,3,B,,Medium,Spanish/Foreign pattern (ce/ci)
casamasamaang,3,A,kasamasamaang,Medium,Archaic ca/co/cu start
cababayang,3,A,kababayang,Medium,Archaic ca/co/cu start
kinucuha,3,A,kinukuha,Medium,Archaic intervocalic c
capacanan,3,A,kapakanan,Medium,Archaic ca/co/cu start
magcacapaaralan,3,A,magkakapaaralan,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
ikinacait,3,A,ikinakait,Medium,Archaic intervocalic c
nagcacaisang,3,A,nagkakaisang,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caban,3,A,kaban,Medium,Archaic ca/co/cu start
caalacbay,3,A,kaalakbay,Medium,Archaic ca/co/cu start
centinela,3,B,,Medium,Spanish/Foreign pattern (ce/ci)
capis,3,A,kapis,Medium,Archaic ca/co/cu start
casisicad,3,A,kasisikad,Medium,Archaic ca/co/cu start
cabong,3,A,kabong,Medium,Archaic ca/co/cu start
talasoc,3,A,talasok,Medium,Archaic ending -c
cahig,3,A,kahig,Medium,Archaic ca/co/cu start
calampagan,3,A,kalampagan,Medium,Archaic ca/co/cu start
sacali'y,3,A,sakali'y,Medium,Archaic intervocalic c
escenario,3,B,,Medium,Spanish/Foreign pattern (ce/ci)
cahusayan,3,A,kahusayan,Medium,Archaic ca/co/cu start
categoria,3,A,kategoria,Medium,Archaic ca/co/cu start
nagcasakit,3,A,nagkasakit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
canal,3,A,kanal,Medium,Archaic ca/co/cu start
Carlicos,3,C,,High,Proper Noun (Capitalized ca/co/cu)
pinacamaliit,3,A,pinakamaliit,Medium,Archaic intervocalic c
Nagbalic,3,A,Nagbalik,Medium,Archaic ending -c
caracaracang,3,A,karakarakang,Medium,Archaic ca/co/cu start
capatawaran,3,A,kapatawaran,Medium,Archaic ca/co/cu start
nacarating,3,A,nakarating,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
casilacbuhan,3,A,kasilakbuhan,Medium,Archaic ca/co/cu start
casiraang,3,A,kasiraang,Medium,Archaic ca/co/cu start
pitac,3,A,pitak,Medium,Archaic ending -c
pangangalacal,3,A,pangangalakal,Medium,Archaic intervocalic c
lasac,3,A,lasak,Medium,Archaic ending -c
sacsac,3,A,saksak,Medium,Archaic ending -c
cucuha,3,A,kukuha,Medium,Archaic ca/co/cu start
nacahilig,3,A,nakahilig,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pakikihamoc,3,A,pakikihamok,Medium,Archaic ending -c
mangangalacal,3,A,mangangalakal,Medium,Archaic intervocalic c
ipacasal,3,A,ipakasal,Medium,Archaic intervocalic c
tatacas,3,A,tatakas,Medium,Archaic intervocalic c
Campo,3,C,,High,Proper Noun (Capitalized ca/co/cu)
ipinahamac,3,A,ipinahamak,Medium,Archaic ending -c
pagtacbo,3,E,,Medium,Uncertain
sumicat,3,A,sumikat,Medium,Archaic intervocalic c
Calipso,2,C,,High,Proper Noun (Capitalized ca/co/cu)
actu,2,E,,Medium,Uncertain
clasico,2,A,klasiko,Medium,Archaic intervocalic c
tercera,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
curato,2,A,kurato,Medium,Archaic ca/co/cu start
canon,2,A,kanon,Medium,Archaic ca/co/cu start
caldero,2,A,kaldero,Medium,Archaic ca/co/cu start
Melchor,2,C,,High,Proper/Foreign (ch)
Derecho,2,C,,High,Proper/Foreign (ch)
facultad,2,A,fakultad,Medium,Archaic intervocalic c
muceta,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
Tacito,2,C,,High,Proper/Spanish
Seneca,2,C,,High,Proper Noun (Contains c)
Clemente,2,C,,High,Proper Noun (Contains c)
Cecilia,2,C,,High,Proper/Spanish
Academia,2,C,,High,Proper Noun (Contains c)
codillo,2,A,kodillo,Medium,Archaic ca/co/cu start
vobiscum,2,E,,Medium,Uncertain
politica,2,A,politika,Medium,Archaic intervocalic c
victoria,2,E,,Medium,Uncertain
carabineros,2,A,karabineros,Medium,Archaic ca/co/cu start
celestiales,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
contrabando,2,A,kontrabando,Medium,Archaic ca/co/cu start
Pontificia,2,C,,High,Proper/Spanish
ampliacion,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
matricula,2,A,matrikula,Medium,Archaic intervocalic c
superficies,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
consecuentiam,2,A,konsekuentiam,Medium,Archaic ca/co/cu start
contra,2,A,kontra,Medium,Archaic ca/co/cu start
censura,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
carrera,2,A,karrera,Medium,Archaic ca/co/cu start
licenciado,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
Canton,2,C,,High,Proper Noun (Capitalized ca/co/cu)
chaleco,2,B,,Medium,Spanish/Foreign (ch)
carpinteria,2,A,karpinteria,Medium,Archaic ca/co/cu start
cabesa,2,B,,Medium,Common Spanish Loan
cuando,2,A,kuando,Medium,Archaic ca/co/cu start
paciencioso,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
caracteres,2,A,karakteres,Medium,Archaic ca/co/cu start
Central,2,C,,High,Proper/Spanish
Inquisicion,2,C,,High,Proper/Spanish
americana,2,A,amerikana,Medium,Archaic intervocalic c
oficial,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
provinciano,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
marchez,2,B,,Medium,Spanish/Foreign (ch)
cancan,2,A,kankan,Medium,Archaic ca/co/cu start
ici,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
Toxicologia,2,C,,High,Proper Noun (Contains c)
caballero,2,A,kaballero,Medium,Archaic ca/co/cu start
Pirotecnia,2,C,,High,Proper Noun (Contains c)
cogi,2,A,kogi,Medium,Archaic ca/co/cu start
conmigo,2,A,konmigo,Medium,Archaic ca/co/cu start
poco,2,A,poko,Medium,Archaic intervocalic c
casa,2,A,kasa,Medium,Archaic ca/co/cu start
sic,2,A,sik,Medium,Archaic ending -c
Cave,2,C,,High,Proper Noun (Capitalized ca/co/cu)
cadas,2,A,kadas,Medium,Archaic ca/co/cu start
Sanctus,2,C,,High,Proper Noun (Contains c)
oraculo,2,A,orakulo,Medium,Archaic intervocalic c
correo,2,A,korreo,Medium,Archaic ca/co/cu start
lacayo,2,A,lakayo,Medium,Archaic intervocalic c
volcan,2,E,,Medium,Uncertain
fantoche,2,B,,Medium,Spanish/Foreign (ch)
electrica,2,A,elektrika,Medium,Archaic intervocalic c
Cawangis,2,C,,High,Proper Noun (Capitalized ca/co/cu)
colado,2,A,kolado,Medium,Archaic ca/co/cu start
corbata,2,A,korbata,Medium,Archaic ca/co/cu start
cabila,2,A,kabila,Medium,Archaic ca/co/cu start
tucoy,2,A,tukoy,Medium,Archaic intervocalic c
pawican,2,A,pawikan,Medium,Archaic intervocalic c
catamistamisang,2,A,katamistamisang,Medium,Archaic ca/co/cu start
marco,2,E,,Medium,Uncertain
cabutihang,2,A,kabutihang,Medium,Archaic ca/co/cu start
nacuculong,2,A,nakukulong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
camalacmalac,2,A,kamalakmalak,Medium,Archaic ca/co/cu start
carami,2,A,karami,Medium,Archaic ca/co/cu start
hicab,2,A,hikab,Medium,Archaic intervocalic c
nacaputi,2,A,nakaputi,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
biscocho,2,B,,Medium,Spanish/Foreign (ch)
namamangca,2,E,,Medium,Uncertain
kinacatcat,2,A,kinakatkat,Medium,Archaic intervocalic c
iniucol,2,A,iniukol,Medium,Archaic intervocalic c
kinucumpisal,2,A,kinukumpisal,Medium,Archaic intervocalic c
nagcacawatasan,2,A,nagkakawatasan,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pinacaibig,2,A,pinakaibig,Medium,Archaic intervocalic c
inianac,2,A,inianak,Medium,Archaic ending -c
magcaibigan,2,A,magkaibigan,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
mapagcuro,2,E,,Medium,Uncertain
Napaca,2,C,,High,Proper Noun (Contains c)
nacaakit,2,A,nakaakit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
sacop,2,A,sakop,Medium,Archaic intervocalic c
cahawig,2,A,kahawig,Medium,Archaic ca/co/cu start
Reverencia,2,C,,High,Proper/Spanish
Cagalang,2,C,,High,Proper Noun (Capitalized ca/co/cu)
inilacas,2,A,inilakas,Medium,Archaic intervocalic c
macasasakit,2,A,makasasakit,Medium,Archaic intervocalic c
accidens,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
nacapanayam,2,A,nakapanayam,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
aabanico,2,A,aabaniko,Medium,Archaic intervocalic c
natuclasan,2,E,,Medium,Uncertain
icapito,2,A,ikapito,Medium,Archaic intervocalic c
macatalos,2,A,makatalos,Medium,Archaic intervocalic c
carilagdilagang,2,A,karilagdilagang,Medium,Archaic ca/co/cu start
pagbebendicion,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
caymanggui,2,A,kaymanggui,Medium,Archaic ca/co/cu start
magalac,2,A,magalak,Medium,Archaic ending -c
tumalicod,2,A,tumalikod,Medium,Archaic intervocalic c
caramiha'y,2,A,karamiha'y,Medium,Archaic ca/co/cu start
kinucuyumos,2,A,kinukuyumos,Medium,Archaic intervocalic c
Campana,2,C,,High,Proper Noun (Capitalized ca/co/cu)
confesor,2,A,konfesor,Medium,Archaic ca/co/cu start
iniwacas,2,A,iniwakas,Medium,Archaic intervocalic c
Luculo,2,C,,High,Proper Noun (Contains c)
Colonia,2,C,,High,Proper Noun (Capitalized ca/co/cu)
lumacas,2,A,lumakas,Medium,Archaic intervocalic c
catas,2,A,katas,Medium,Archaic ca/co/cu start
mapagwicaan,2,A,mapagwikaan,Medium,Archaic intervocalic c
nangagcacawangis,2,A,nangagkakawangis,Medium,Archaic intervocalic c
cupas,2,A,kupas,Medium,Archaic ca/co/cu start
Sacristia,2,C,,High,Proper Noun (Contains c)
acera,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
catacatacang,2,A,katakatakang,Medium,Archaic ca/co/cu start
magpacaingat,2,A,magpakaingat,Medium,Archaic intervocalic c
caiclian,2,A,kaiklian,Medium,Archaic ca/co/cu start
nagcucumpisal,2,A,nagkukumpisal,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
atricion,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
nacararagdag,2,A,nakararagdag,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nanasoc,2,A,nanasok,Medium,Archaic ending -c
pinagtatadyacan,2,A,pinagtatadyakan,Medium,Archaic intervocalic c
nanglilibac,2,A,nanglilibak,Medium,Archaic ending -c
pinagwicaan,2,A,pinagwikaan,Medium,Archaic intervocalic c
vascongado,2,E,,Medium,Uncertain
sinuntoc,2,A,sinuntok,Medium,Archaic ending -c
periodicong,2,A,periodikong,Medium,Archaic intervocalic c
pinacacain,2,A,pinakakain,Medium,Archaic intervocalic c
mapagcandiling,2,E,,Medium,Uncertain
cahatulang,2,A,kahatulang,Medium,Archaic ca/co/cu start
cuerdas,2,A,kuerdas,Medium,Archaic ca/co/cu start
cahimahimalang,2,A,kahimahimalang,Medium,Archaic ca/co/cu start
carikitdikitang,2,A,karikitdikitang,Medium,Archaic ca/co/cu start
nangapupucaw,2,A,nangapupukaw,Medium,Archaic intervocalic c
cumikislap,2,A,kumikislap,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
camukha,2,A,kamukha,Medium,Archaic ca/co/cu start
nacasisira,2,A,nakasisira,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Capampangan,2,C,,High,Proper Noun (Capitalized ca/co/cu)
ipinagcacatiwala,2,A,ipinagkakatiwala,Medium,Archaic intervocalic c
macababasa,2,A,makababasa,Medium,Archaic intervocalic c
cadalasa'y,2,A,kadalasa'y,Medium,Archaic ca/co/cu start
capilla,2,A,kapilla,Medium,Archaic ca/co/cu start
Vicente,2,C,,High,Proper/Spanish
macapagsasaysay,2,A,makapagsasaysay,Medium,Archaic intervocalic c
nanglilisic,2,A,nanglilisik,Medium,Archaic ending -c
caliwang,2,A,kaliwang,Medium,Archaic ca/co/cu start
calasag,2,A,kalasag,Medium,Archaic ca/co/cu start
acma,2,E,,Medium,Uncertain
sacsi,2,E,,Medium,Uncertain
nangaco,2,A,nangako,Medium,Archaic intervocalic c
pagkapaco,2,A,pagkapako,Medium,Archaic intervocalic c
canang,2,A,kanang,Medium,Archaic ca/co/cu start
kinumpascumpas,2,E,,Medium,Uncertain
castillero,2,A,kastillero,Medium,Archaic ca/co/cu start
Oficial,2,C,,High,Proper/Spanish
Malacanyang,2,C,,High,Proper Noun (Contains c)
cahangahanga,2,A,kahangahanga,Medium,Archaic ca/co/cu start
nacababagabag,2,A,nakababagabag,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
mapanghawacan,2,A,mapanghawakan,Medium,Archaic intervocalic c
napacaramot,2,A,napakaramot,Medium,Archaic intervocalic c
nagcagugol,2,A,nagkagugol,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caligayahang,2,A,kaligayahang,Medium,Archaic ca/co/cu start
macasal,2,A,makasal,Medium,Archaic intervocalic c
azucena,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
conventong,2,A,konventong,Medium,Archaic ca/co/cu start
pinagcayarian,2,E,,Medium,Uncertain
Ancora,2,C,,High,Proper Noun (Contains c)
nacasagot,2,A,nakasagot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
halica,2,A,halika,Medium,Archaic intervocalic c
cataohang,2,A,kataohang,Medium,Archaic ca/co/cu start
alicaboc,2,A,alikabok,Medium,Archaic ending -c
cabello,2,A,kabello,Medium,Archaic ca/co/cu start
cayabangan,2,A,kayabangan,Medium,Archaic ca/co/cu start
nacapagpapacunot,2,A,nakapagpapakunot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
caaliwan,2,A,kaaliwan,Medium,Archaic ca/co/cu start
nacatanaw,2,A,nakatanaw,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
pagbubucang,2,A,pagbubukang,Medium,Archaic intervocalic c
carikitang,2,A,karikitang,Medium,Archaic ca/co/cu start
naglacad,2,A,naglakad,Medium,Archaic intervocalic c
nagcacagayon,2,A,nagkakagayon,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
castillong,2,A,kastillong,Medium,Archaic ca/co/cu start
naglacbay,2,E,,Medium,Uncertain
macapaglaro,2,A,makapaglaro,Medium,Archaic intervocalic c
catapusan,2,A,katapusan,Medium,Archaic ca/co/cu start
carromata,2,A,karromata,Medium,Archaic ca/co/cu start
chinelas,2,B,,Medium,Spanish/Foreign (ch)
caingayang,2,A,kaingayang,Medium,Archaic ca/co/cu start
lubac,2,A,lubak,Medium,Archaic ending -c
Barcas,2,C,,High,Proper Noun (Contains c)
camalig,2,A,kamalig,Medium,Archaic ca/co/cu start
cigarrera,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
catatawanan,2,A,katatawanan,Medium,Archaic ca/co/cu start
Botanico,2,C,,High,Proper Noun (Contains c)
nagbucas,2,A,nagbukas,Medium,Archaic intervocalic c
Pinagsicapan,2,C,,High,Proper Noun (Contains c)
cayamanang,2,A,kayamanang,Medium,Archaic ca/co/cu start
caratnan,2,A,karatnan,Medium,Archaic ca/co/cu start
nacahahalina,2,A,nakahahalina,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacadapo,2,A,nakadapo,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
capong,2,A,kapong,Medium,Archaic ca/co/cu start
nangaglulucsuhan,2,E,,Medium,Uncertain
nangagtatacbuhang,2,E,,Medium,Uncertain
cuco,2,A,kuko,Medium,Archaic ca/co/cu start
catapangang,2,A,katapangang,Medium,Archaic ca/co/cu start
nacacaakit,2,A,nakakaakit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
panyapac,2,A,panyapak,Medium,Archaic ending -c
catuturan,2,A,katuturan,Medium,Archaic ca/co/cu start
mataric,2,A,matarik,Medium,Archaic ending -c
tinahac,2,A,tinahak,Medium,Archaic ending -c
nacacunot,2,A,nakakunot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cumusta,2,A,kumusta,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cometa,2,A,kometa,Medium,Archaic ca/co/cu start
pakikipagcagalit,2,E,,Medium,Uncertain
Pagsicapan,2,C,,High,Proper Noun (Contains c)
macaalawa,2,A,makaalawa,Medium,Archaic intervocalic c
umaacyat,2,E,,Medium,Uncertain
caitaasan,2,A,kaitaasan,Medium,Archaic ca/co/cu start
natacot,2,A,natakot,Medium,Archaic intervocalic c
nacahihicayat,2,A,nakahihikayat,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
terciopelong,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
cabuti,2,A,kabuti,Medium,Archaic ca/co/cu start
encantado,2,E,,Medium,Uncertain
cagulangan,2,A,kagulangan,Medium,Archaic ca/co/cu start
macalabas,2,A,makalabas,Medium,Archaic intervocalic c
nacapangyari,2,A,nakapangyari,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
cainaman,2,A,kainaman,Medium,Archaic ca/co/cu start
macatagal,2,A,makatagal,Medium,Archaic intervocalic c
sacasacali't,2,A,sakasakali't,Medium,Archaic intervocalic c
cumacanta,2,A,kumakanta,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
mapaghihinanactan,2,E,,Medium,Uncertain
makipagcagalit,2,E,,Medium,Uncertain
colorete,2,A,kolorete,Medium,Archaic ca/co/cu start
jicarang,2,A,jikarang,Medium,Archaic intervocalic c
nacasalacot,2,A,nakasalakot,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
humihilic,2,A,humihilik,Medium,Archaic ending -c
aacalang,2,A,aakalang,Medium,Archaic intervocalic c
calahati'y,2,A,kalahati'y,Medium,Archaic ca/co/cu start
natitiric,2,A,natitirik,Medium,Archaic ending -c
pandacaki,2,A,pandakaki,Medium,Archaic intervocalic c
nacacakilala,2,A,nakakakilala,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
hucayin,2,A,hukayin,Medium,Archaic intervocalic c
Humalakhac,2,A,Humalakhak,Medium,Archaic ending -c
hinuhucay,2,A,hinuhukay,Medium,Archaic intervocalic c
Cumuha,2,A,Kumuha,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
macabalic,2,A,makabalik,Medium,Archaic ending -c
hucayi't,2,A,hukayi't,Medium,Archaic intervocalic c
tinatahac,2,A,tinatahak,Medium,Archaic ending -c
caligaligan,2,A,kaligaligan,Medium,Archaic ca/co/cu start
Naglalacad,2,C,,High,Proper Noun (Contains c)
Natatacot,2,C,,High,Proper Noun (Contains c)
macalimot,2,A,makalimot,Medium,Archaic intervocalic c
aacala,2,A,aakala,Medium,Archaic intervocalic c
nacatitisod,2,A,nakatitisod,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
icawalong,2,A,ikawalong,Medium,Archaic intervocalic c
pinacamatanda,2,A,pinakamatanda,Medium,Archaic intervocalic c
Kinuscos,2,C,,High,Proper Noun (Contains c)
cumatha,2,A,kumatha,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
calolowa'y,2,A,kalolowa'y,Medium,Archaic ca/co/cu start
catimbang,2,A,katimbang,Medium,Archaic ca/co/cu start
caaliw,2,A,kaaliw,Medium,Archaic ca/co/cu start
Cristiana,2,C,,High,Proper Noun (Contains c)
nacakilala,2,A,nakakilala,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
catolica,2,A,katolika,Medium,Archaic ca/co/cu start
catolicismo,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
cristiana,2,E,,Medium,Uncertain
lumucloc,2,A,lumuklok,Medium,Archaic ending -c
catanghaliang,2,A,katanghaliang,Medium,Archaic ca/co/cu start
namumulaclac,2,A,namumulaklak,Medium,Archaic ending -c
cailaliman,2,A,kailaliman,Medium,Archaic ca/co/cu start
etc,2,A,etk,Medium,Archaic ending -c
cadalisayan,2,A,kadalisayan,Medium,Archaic ca/co/cu start
nacataas,2,A,nakataas,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
lumalacas,2,A,lumalakas,Medium,Archaic intervocalic c
pinacabata,2,A,pinakabata,Medium,Archaic intervocalic c
matatacot,2,A,matatakot,Medium,Archaic intervocalic c
cumucubli,2,A,kumukubli,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
macaaalis,2,A,makaaalis,Medium,Archaic intervocalic c
pinacahaligui,2,A,pinakahaligui,Medium,Archaic intervocalic c
nacacacaya,2,A,nakakakaya,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
napacahigpit,2,A,napakahigpit,Medium,Archaic intervocalic c
caralitaan,2,A,karalitaan,Medium,Archaic ca/co/cu start
Malungcot,2,C,,High,Proper Noun (Contains c)
catha,2,A,katha,Medium,Archaic ca/co/cu start
Cristong,2,C,,High,Proper Noun (Contains c)
sicmurang,2,E,,Medium,Uncertain
cagaycay,2,A,kagaykay,Medium,Archaic ca/co/cu start
nacatago,2,A,nakatago,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
ipasoc,2,A,ipasok,Medium,Archaic ending -c
Nacapatong,2,A,Nakapatong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Malacas,2,C,,High,Proper Noun (Contains c)
Natacot,2,C,,High,Proper Noun (Contains c)
malicmatang,2,E,,Medium,Uncertain
calingain,2,A,kalingain,Medium,Archaic ca/co/cu start
nacapapasoc,2,A,nakapapasok,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
suca,2,A,suka,Medium,Archaic intervocalic c
kinucusa'y,2,A,kinukusa'y,Medium,Archaic intervocalic c
tacpan,2,E,,Medium,Uncertain
magsasacristan,2,E,,Medium,Uncertain
cacain,2,A,kakain,Medium,Archaic ca/co/cu start
carne,2,A,karne,Medium,Archaic ca/co/cu start
nagpapalacadlacad,2,A,nagpapalakadlakad,Medium,Archaic intervocalic c
cayamutan,2,A,kayamutan,Medium,Archaic ca/co/cu start
Napacalabis,2,C,,High,Proper Noun (Contains c)
nagcacabilog,2,A,nagkakabilog,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
Nagcamit,2,A,Nagkamit,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
kinacamtan,2,A,kinakamtan,Medium,Archaic intervocalic c
cristo,2,B,,Medium,Common Spanish Loan
dulcisimo,2,B,,Medium,Spanish/Foreign pattern (ce/ci)
kinucurot,2,A,kinukurot,Medium,Archaic intervocalic c
macaitlong,2,A,makaitlong,Medium,Archaic intervocalic c
nacacacuha,2,A,nakakakuha,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
catunaya'y,2,A,katunaya'y,Medium,Archaic ca/co/cu start
Casulatan,2,C,,High,Proper Noun (Capitalized ca/co/cu)
cawang,2,A,kawang,Medium,Archaic ca/co/cu start
ipinagtutulacan,2,A,ipinagtutulakan,Medium,Archaic intervocalic c
pinacsa,2,E,,Medium,Uncertain
lucsa,2,E,,Medium,Uncertain
macasusulat,2,A,makasusulat,Medium,Archaic intervocalic c
kinacailanga'y,2,A,kinakailanga'y,Medium,Archaic intervocalic c
macapagturo,2,A,makapagturo,Medium,Archaic intervocalic c
caalang,2,A,kaalang,Medium,Archaic ca/co/cu start
gramatica,2,A,gramatika,Medium,Archaic intervocalic c
caapihang,2,A,kaapihang,Medium,Archaic ca/co/cu start
Nacatindig,2,A,Nakatindig,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
nacatutulong,2,A,nakatutulong,Medium,Archaic Affix (cum/nagc/magc/nac/pagc)
carayama,2,A,karayama,Medium,Archaic ca/co/cu start
