source_form,target_form,rule_type,notes,apply_case_sensitive,word_boundary_only
pagcamahal,pagkamahal,prefix,Archaic pagca- -> pagka-,True,True
pagcacaserdote,pagkakaserdote,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcamasid,pagkamasid,prefix,Archaic pagca- -> pagka-,True,True
pagcahindi,pagkahindi,prefix,Archaic pagca- -> pagka-,True,True
pagcacasira,pagkakasira,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacayas,pagkakayas,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaisip,pagkaisip,prefix,Archaic pagca- -> pagka-,True,True
pagcahawac,pagkahawac,prefix,Archaic pagca- -> pagka-,True,True
pagcapacagaling,pagkapacagaling,prefix,Archaic pagca- -> pagka-,True,True
pagcagagaling,pagkagagaling,prefix,Archaic pagca- -> pagka-,True,True
pagcapacasama,pagkapacasama,prefix,Archaic pagca- -> pagka-,True,True
pagcamusmus,pagkamusmus,prefix,Archaic pagca- -> pagka-,True,True
pagcacalarawa'y,pagkakalarawa'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcalungayngay,pagkalungayngay,prefix,Archaic pagca- -> pagka-,True,True
pagcatiin,pagkatiin,prefix,Archaic pagca- -> pagka-,True,True
pagcabinyagan,pagkabinyagan,prefix,Archaic pagca- -> pagka-,True,True
pagcasasalabat,pagkasasalabat,prefix,Archaic pagca- -> pagka-,True,True
pagcacataong,pagkakataong,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacaprinsa,pagkakaprinsa,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapalad,pagkakapalad,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacasal,pagkakasal,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcalapit,pagkalapit,prefix,Archaic pagca- -> pagka-,True,True
pagcagalinggaling,pagkagalinggaling,prefix,Archaic pagca- -> pagka-,True,True
pagcacaramdam,pagkakaramdam,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcayamot,pagkayamot,prefix,Archaic pagca- -> pagka-,True,True
pagcacahidwa,pagkakahidwa,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacamali,pagkakamali,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcabagong,pagkabagong,prefix,Archaic pagca- -> pagka-,True,True
pagcaubos,pagkaubos,prefix,Archaic pagca- -> pagka-,True,True
Pagcalalaking,Pagkalalaking,prefix,Archaic pagca- -> pagka-,True,True
pagcatanto,pagkatanto,prefix,Archaic pagca- -> pagka-,True,True
pagcatututo,pagkatututo,prefix,Archaic pagca- -> pagka-,True,True
pagcacanta,pagkakanta,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcalabas,pagkalabas,prefix,Archaic pagca- -> pagka-,True,True
pagcacapaliwanag,pagkakapaliwanag,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapulupulutong,pagkakapulupulutong,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapantay,pagkakapantay,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcanta,pagkanta,prefix,Archaic pagca- -> pagka-,True,True
pagcacaingay,pagkakaingay,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacagulo,pagkakagulo,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcatindig,pagkatindig,prefix,Archaic pagca- -> pagka-,True,True
pagcabili,pagkabili,prefix,Archaic pagca- -> pagka-,True,True
pagcacamag,pagkakamag,prefix,Archaic pagcaca- -> pagkaka-,True,True
ipinapanhic,ipinapanhik,suffix,Archaic -hic -> -hik,True,True
pagcawili,pagkawili,prefix,Archaic pagca- -> pagka-,True,True
pagcapanot,pagkapanot,prefix,Archaic pagca- -> pagka-,True,True
pagcamatimyas,pagkamatimyas,prefix,Archaic pagca- -> pagka-,True,True
pagcabagay,pagkabagay,prefix,Archaic pagca- -> pagka-,True,True
Pagcalakilaki,Pagkalakilaki,prefix,Archaic pagca- -> pagka-,True,True
pagcainis,pagkainis,prefix,Archaic pagca- -> pagka-,True,True
pagcatuwa,pagkatuwa,prefix,Archaic pagca- -> pagka-,True,True
pagcapangumpisal,pagkapangumpisal,prefix,Archaic pagca- -> pagka-,True,True
Pagcagalinggaling,Pagkagalinggaling,prefix,Archaic pagca- -> pagka-,True,True
pagcahumal,pagkahumal,prefix,Archaic pagca- -> pagka-,True,True
pagcanilaynilay,pagkanilaynilay,prefix,Archaic pagca- -> pagka-,True,True
pagcadali,pagkadali,prefix,Archaic pagca- -> pagka-,True,True
pagcagagandang,pagkagagandang,prefix,Archaic pagca- -> pagka-,True,True
pagcacaturo,pagkakaturo,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaturo,pagkaturo,prefix,Archaic pagca- -> pagka-,True,True
pagcacapicpic,pagkakapicpic,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcalakilaki,pagkalakilaki,prefix,Archaic pagca- -> pagka-,True,True
pagcacatulad,pagkakatulad,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacasugat,pagkakasugat,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcatwa,pagkatwa,prefix,Archaic pagca- -> pagka-,True,True
Pagcapangitpangit,Pagkapangitpangit,prefix,Archaic pagca- -> pagka-,True,True
pagcasamasama,pagkasamasama,prefix,Archaic pagca- -> pagka-,True,True
pagcagamot,pagkagamot,prefix,Archaic pagca- -> pagka-,True,True
pagcapasabi,pagkapasabi,prefix,Archaic pagca- -> pagka-,True,True
pagcasiyahan,pagkasiyahan,prefix,Archaic pagca- -> pagka-,True,True
pagcacatangkilic,pagkakatangkilic,prefix,Archaic pagcaca- -> pagkaka-,True,True
mamanhic,mamanhik,suffix,Archaic -hic -> -hik,True,True
pagcaupo,pagkaupo,prefix,Archaic pagca- -> pagka-,True,True
namanhic,namanhik,suffix,Archaic -hic -> -hik,True,True
pagcamapagmataas,pagkamapagmataas,prefix,Archaic pagca- -> pagka-,True,True
pagcapalagay,pagkapalagay,prefix,Archaic pagca- -> pagka-,True,True
pagcaringig,pagkaringig,prefix,Archaic pagca- -> pagka-,True,True
pagcapatay,pagkapatay,prefix,Archaic pagca- -> pagka-,True,True
pagcacamal,pagkakamal,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcatanggap,pagkatanggap,prefix,Archaic pagca- -> pagka-,True,True
pagcapagal,pagkapagal,prefix,Archaic pagca- -> pagka-,True,True
pagcaguho,pagkaguho,prefix,Archaic pagca- -> pagka-,True,True
pagcacahandang,pagkakahandang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcabalisa,pagkabalisa,prefix,Archaic pagca- -> pagka-,True,True
pagcasabit,pagkasabit,prefix,Archaic pagca- -> pagka-,True,True
pagcaguiyaguis,pagkaguiyaguis,prefix,Archaic pagca- -> pagka-,True,True
pagcalucso,pagkalucso,prefix,Archaic pagca- -> pagka-,True,True
pagcacapiit,pagkakapiit,prefix,Archaic pagcaca- -> pagkaka-,True,True
macapapanhic,macapapanhik,suffix,Archaic -hic -> -hik,True,True
pagcagulantang,pagkagulantang,prefix,Archaic pagca- -> pagka-,True,True
pagcamalabis,pagkamalabis,prefix,Archaic pagca- -> pagka-,True,True
pagcalairit,pagkalairit,prefix,Archaic pagca- -> pagka-,True,True
ipanhic,ipanhik,suffix,Archaic -hic -> -hik,True,True
pagcabitin,pagkabitin,prefix,Archaic pagca- -> pagka-,True,True
pagcasingcaw,pagkasingcaw,prefix,Archaic pagca- -> pagka-,True,True
pagcatalinhaga,pagkatalinhaga,prefix,Archaic pagca- -> pagka-,True,True
pagcacabalita'y,pagkakabalita'y,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcacapisang,pagkakapisang,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaimbiimbing,pagkaimbiimbing,prefix,Archaic pagca- -> pagka-,True,True
pagcacaingat,pagkakaingat,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaculong,pagkaculong,prefix,Archaic pagca- -> pagka-,True,True
magmamanhic,magmamanhik,suffix,Archaic -hic -> -hik,True,True
pagcataas,pagkataas,prefix,Archaic pagca- -> pagka-,True,True
pagcacabigay,pagkakabigay,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcatacas,pagkatacas,prefix,Archaic pagca- -> pagka-,True,True
pagcacatanan,pagkakatanan,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcahiga,pagkahiga,prefix,Archaic pagca- -> pagka-,True,True
pagcabitay,pagkabitay,prefix,Archaic pagca- -> pagka-,True,True
pagcapatapon,pagkapatapon,prefix,Archaic pagca- -> pagka-,True,True
pagcacalinga,pagkakalinga,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcasayangsayang,pagkasayangsayang,prefix,Archaic pagca- -> pagka-,True,True
pagcapikit,pagkapikit,prefix,Archaic pagca- -> pagka-,True,True
pagcapabaya,pagkapabaya,prefix,Archaic pagca- -> pagka-,True,True
pagcacalam,pagkakalam,prefix,Archaic pagcaca- -> pagkaka-,True,True
pagcaguiba,pagkaguiba,prefix,Archaic pagca- -> pagka-,True,True
