token,frequency,capitalized_count,pattern_match,modern_suggestion,confidence,auto_action,sample_contexts
macapagsalita,9,0,C_TO_K,makapagsalita,HIGH,SAFE,"['1525: Natira si Basiliong hindi man lamang macapagsalita.', ""2140: Itulot nga ninyong ako ang maunang magsalita sa pulong na itong kinakikitaan ko ng mga nalilimping totoong mga litaw na mga tao, gaya na nga ng ginoong casalucuyang capitan, ng kapitan pasado, ng kaibigan kong tanging si Don Valenting capitan pasado, ang aking kaibigan sa camusmusang si Don Julio, ang ating bantog na capitan ng mga cuadrillerong si Don Melchor, at marami pang mga caguinoohang di ko na sasabihi't ng huwag akong humaba, na nakikita ng inyong mga camahalang pawang caharap natin ngayon ipinamanhik ko po sa inyong mga camahalan ipahintulot na ako'y macapagsalita bago magsalita ang ibang sino man ¿Magtatamo kaya ako ng capalarang pahinuhod ang capulungan sa aking mapacumbabang capamanhican?"", '2155: Ayon sa hindi pag-imic na namamasid, sino ma\'y ayaw na siya\'y tawagguin ""patres conscripti"", sino ma\'y walang tumitindig: ng magcagayo\'y sinamantala ni Don Filipo ang nangyayari at huminging pahintulot na macapagsalita.']"
kinacatawan,9,0,C_TO_K,kinakatawan,HIGH,SAFE,"['724: Sa aking sapantaha\'y ikaw ang ""hada"", ang espiritu, ang caayaayang kinacatawan ng aking Bayang kinaguisnan, maganda, mahinhin, masintahin, lubos calinisan, anak ng Filipinas, niyang cagandagandahang lupang bucod sa mga dakilang cagalingan ng Inang Españang taglay rin niya\'y may maririkit pang mga hiyas ng isang bayang bata, tulad sa pagkakapisan sa iyong cataohan ng lahat ng cagandahan at carikitang nacapagpapaningning sa dalawang lahi; kaya nga\'t nabubuo lamang sa isa ang pagsinta ko sa iyo\'t ang pagsinta ko sa aking tinubuang lupa ...', ""2092: Dito nagsasalitaan ngayon ang mga puno ng bayan at ng mga nayon: hindi nakikihalo ang pangcat ng mga matatanda sa pangcat ng mga bata, at hindi nangagcacasundo ang isa't isa; sila ang mga kinacatawan ng partido conservador at ng partido liberal, ang naguiguing catangia'y totoong napapacalabis sa mga bayan ang kanilang mga pagtatalotalo."", ""4122: Ng mga caunaunahang panahong iyon, ang mga kinapal na ito'y nakipag-uusap pa (ganito marahil ang kanilang buong acala) sa Lumikha sa kanila, sa pagka't sila'y may mga kinikilalang mga Ministro (kinacatawan) ng Lumikha iyan, mga kinapal na iba kay sa mga iba na kanilang sa tuwi na'y pinangangalanan ng mga talinghagang letrang M. R. P. Fr., na sa pagbibigay cahulugan sa mga letrang ito'y hindi nangagcacaisa ang ating mga marurunong.""]"
carukhaan,9,0,C_TO_K,karukhaan,HIGH,SAFE,"['501: Ako man, sacali\'t malaki ang aking casuclaman sa pagluhog sa paggawa ng magaling nino man, humarap ako sa Kapitan General, sa hinalinhan ng ating Kapitan General ngayon; ipinaliwanag ko sa kanyang hindi mangyayaring maguing ""filibustero"" ang tumatangkilik sa lahat ng castilang dukha o naglalacbay rito, na pinatutuloy sa kanyang bahay at pinacacain at ang sa kanyang mga ugat ay tumatacbo pa ang mapagcandiling dugong kastila; ¡nawalang cabuluhang isagot ko ang aking ulo, at ang manumpa ako sa aking carukhaan at sa aking capurihang militar, at wala ako ng nasunduan kung di magpakita sa akin ng masamang pagtanggap, pagpakitaan ako ng lalong masama sa aking pagpapaalam at ang pamagatan ako ng ""chiilado""!', ""1550: Ikaw na pumuri sa carukhaan, at kayo naman, mga aninong pinahihirapan, sa walang pamuting panalangin ng dukha, na sinasaysay sa harap ng isang estampang masama ang pagkakagawa, na liniliwanagan ng ilaw ng isang timsim, o baka kaya ang ibig ninyo'y ang may mga candilang malalaki sa harap ng mga Cristong sugatan, ng mga Virgeng maliliit ang bibig at may mga matang cristal, mga misang wikang lating ipinangungusap ng mga sacerdoteng hindi inuunawa ang sinasabi?"", ""1551: At ikaw, Religiong ilinaganap na talagang ucol sa sangcataohang nagdaralita, ¿nalimutan mo na kaya ang catungculan mong umaliw sa naaapi sa kanyang carukhaan, at humiya sa macapangyarihan sa kanyang capalaluan, at ngayo'y may laan ka lamang na mga pangaco sa mga mayayaman, sa mga taong sa iyo'y macapagbabayad?""]"
macasalanan,9,0,C_TO_K,makasalanan,HIGH,SAFE,"['15: Namumucod ng di ano lamang sa mga ganitong handang sa mundo\'y nauucol, ang sumasapader na mga cuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagkamatay ng banal,"" ""Ang pagkamatay ng macasalanan,"" at sa duyo\'y naliliguid nang isang maringal at magandañg ""marco"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo\'y napapanood ang dalawang matandang babae.', '3937: Kayong mga malalaking macasalanan, mga bihag ng mga moro ng calolowa, na siyang lumalaganap sa mga dagat ng walang hanggang buhay, na pawang nacalulan sa macapangyarihang mga sasacyan ng sa taong katawan at ng mga lugod sa buhay na ito, kayong hindi magcandadala ng mga tanicala ng mahahalay na hilig at ng mga calibugan, at nangagsisigaod sa daong ng taga Infiernong si Satan, masdan ninyo riyan ng mapitagang pagkahiya ang tumutubos sa mga calolowa sa pagkabihag ng demonio, ang matapang na Gedeon, ang malakas na loob na David, ang mapagwaguing Roldan ng cacristianohan, ang tagalangit na guardia civil, na higuit ang catapangan sa lahat ng mga guardia civil kahi\'t pagsamasamahin ang mga guardia civil ngayon at ang sa bukas pa"".', '3968: ""Dapat nating masaulong lahat ang mga Santong Casulatan, ang buhay ng mga santo, at sa ganito\'y hindi ko kinacailangang sa inyo\'y mangaral, mga macasalanan; dapat ninyong maalaman ang mga bagay na itong totoong mahalaga at kinacailangang gaya ng pagkasaulo sa Ama namin, baga man nacalimutan na ninyo ito at nagbubuhay protestante o hereje na kayo, na hindi nagsisigalang sa mga ministro (cawani ng Dios, na gaya ng mga insic), ngunit kayo\'y mangagpapacasama, lalo ng mangapapahamac kayo, mga sinumpa!']"
caibhan,9,0,C_TO_K,kaibhan,HIGH,SAFE,"[""1008: May pagkawangis ang San Diego sa Roma; ngunit hindi sa Roma ng panahong guinuguhitan ng araro ng cuhilang si Romulo ang kanyang mga kuta; hindi rin sa Romang nacapaglalagda ng mga cautusan sa sandaigdig sa paliligo sa sarili't sa mga ibang dugo, hindi: wangis ang San Diego sa casalucuyang Roma, at ang bilang caibhan lamang ay hindi mga monumentong marmol at mga coliseo ang naroon, kung di sawaling monumento at sabungang pawid."", ""1377: Kahi't may caunting pagkamapamahiin si Doray, siya'y magaling na catolica, at hindi ko ibig na pumacnit sa puso ng pananampalataya: naiiba ang isang pananampalatayang dalisay at wagas sa haling na pananampalataya, tulad sa pagkakaiba ng ningas at ng usoc, wangis sa caibhan ng musica sa isang gusot na caingayan: hindi napagkikilala ang ganitong pagkakaiba ng mga haling, na tulad sa mga bingi."", '1431: Ang pinacabata sa kanila, na may malalaking matang maitim at matatacuting mukha, pinipilit na idigkit niya ang kanyang katawan sa katawan ng kanyang kapatid, na totoong nacacawangis niya ang pagmumukha, at ang caibhan lamang ay malalim tumingin at may pagkaanyong matapang.']"
cararating,9,0,C_TO_K,kararating,HIGH,SAFE,"['806: Hindi pinapansin ng mga taong nagdudumaling dumaraan ang bagay na iyon; nagdaraan ang mga babae, tinitingnan sila at nangagpapatuloy ng paglakad, caraniwan ng mapanood ang mga bagay na yaon, linipacan na ang mga puso; nangagtatacbuhan ang mga coche, ipinaaanino sa kanilang catawang may barniz ang mga sinag ng araw na iyong maningning sa isang langit na walang alapaap; sa kanya lamang, batang may labing isang taon at bagong cararating na galing sa kanyang bayan, nacalalaguim ang napapanood na iyon; sa kanya lamang nacapagbigay bangungot ng kinagabihan.', '1324: —¿Nakita po ba ninyo sa libingan ang anak ng nasirang si Don Rafael na bagong cararating na galing sa Europa?', ""3249: Kilala po ninyong totoo ang mga taong nananahan dito; ako'y bagong cararating at halos ako'y isang manunuluyang taga ibang lupain sa aking sariling bayan.""]"
cahalingan,9,0,C_TO_K,kahalingan,HIGH,SAFE,"[""73: ¿Hindi ba ninyo nakikita, anak ng Dios, na ang lahat ng ito'y nagpapatibay na totoo, na pawang cahalingan ang mga pagbabagong utos na ginagawa ng mga ministro?"", ""98: Iya'y mga cahalingan ng mga bagong dating."", '102: —ang sagot ni pari Damasong nagtatawa;—nagsasalita kayo ng mga cahalingan.']"
calaguimlaguim,9,0,C_TO_K,kalaguimlaguim,HIGH,SAFE,"[""1421: Kung iya'y maguiguing katotohanan, sacalin na ninyo't patayin iyang inyong anak na lalaking diya'y tumutulog; kung ang ganyang pananampalataya'y hindi isang malaking capusungang laban sa Dios na iyang dapat na maguing siyang Dakilang Cagalingan; pagkakagayo'y ang Molok fenicio na ang kinacai'y ang inihahayin sa kanyang mga pinapatay na tao at ang dugong walang-malay-sala, at sinususunog sa kanyang tiyan ang mga sanggol na inagaw sa dibdib ng kanilang mga ina, ang mamamatay-taong dios na iyan, ang dios na iyang calaguimlaguim, kung isusumag sa Kanya'y masasabing isang dalagang mahina ang loob, isang caibigang babae, ang ina ng Sangcataohan!"", ""2359: Tumatacbong nagsisikip ang dib-dib, palibhasa'y pinag-uusig ng mga guniguning calaguimlaguim."", ""2506: Sa buong gabi, pagka umaatungal ang unos, at lumilipad ang hangin ng calaguimlaguim na catulinan, at ipinagtatabuyan ng kanyang hindi nakikitang mga pakpak ang isang hucbong mga aninong sa kanya'y humahagad, kung sacali't kayo'y na sa isang bahay na guiba at nag-iisa, at nacacarinig kayo ng mga cacaibang daing, mga cacaibang buntong-hiningang ipinalalagay ninyong yao'y ang hilahis ng hihip ng hangin sa pagtama sa matataas na mga torre o sirang mga pader, datapwat sa inyo'y pumupuspos ng takot at sa inyo'y nagpapakilabot na hindi ninyo mapiguilan; talastasin nga ninyong higuit ang lungcot ng tinig ng inang iyon, kay sa hindi mapaglirip na mga hibic sa mga gabing madilim pagka umaatungal ang unos.""]"
manacanaca,9,0,C_TO_K,manakanaka,HIGH,SAFE,"[""665: ¿hindi ba kayo'y nangaglalaro ng larong haling at hanggang sa kayo'y nag-aaway na manacanaca?"", ""987: Si Don Saturnino'y isang binatang malungcot ang asal at lubhang magagalitin, at kung minsa'y malupit; datapwat totoong masipag at masintahin sa paggawa: binacuran ng pader ang pinaglibingan sa kanyang ama, na manacanaca lamang dinadalaw."", ""2527: Mga azul daw ang kanilang mga mata at ang kanilang mga buhok; na sila'y may mga putong na coronang halaman sa tubig na may mga bulaklak na mapuputi't mapupula; manacanaca raw ipinamamalas ng mga bula ang kanilang parang linalic na catawang higuit sa bula ang caputian at kung ganap ng gabi'y kanilang pinasisimulaan ang kanilang mga calugodlugod na paglalaro, at kanilang ipinaririnig ang mga tinig na talinghagang tulad sa mga arpa sa langit; sa bihanan din namang ...""]"
capaitan,9,0,C_TO_K,kapaitan,HIGH,SAFE,"['1603: Tumangis ng buong capaitan si Sisa; ngunit pagkaalaala sa kanyang mga anak ay natuyo ang mga luha.', '1929: Nanambitan si Sisa ng buong capaitan, at nagpacaupo sa isang bangco.', '2046: Nacabawas ng caunti ng capaitan ng capighatian kong ito ang magandang paglingap na ipinakita sa akin ng ilan.']"
nacatindig,9,0,C_TO_K,nakatindig,HIGH,SAFE,"[""723: Sa mga panaguimpan ko'y nakikita ko ikaw na nacatindig sa tabing dagat ng Maynila, nacatanaw sa malayong abot ng paninging nababalot sa malamlam na liwanag ng maagang pagbubucang liwayway; aking naririnig ang isang aaying-aying at malungcot na awit na sa aki'y pumupucaw ng nagugulaylay ng mga damdamin, at tinatawag ko sa alaala ng aking puso ang mga unang taon ng aking camusmusan, ang ating mga catuwaan, ang ating mga paglalaro, ang buong nacaraang maligayang panahong binigyan mong casayahan, samantalang doroon ka sa bayan."", '1527: Hindi humihinga ang bata: nacatindig na nakikinig, dilat na dilat ang mga mata, at nacasuntoc ang mga kamay.', ""1623: Datapwat caguinsaguinsa'y naramdaman niyang naninindig ang kanyang mga buhok, nangdidilat ng mainam ang kanyang mga mata, malicmata o katotohanan, kanyang nakikitang nacatindig si Crispin sa tabi ng calan, doon sa lugar na caraniwang kanyang inuup-an upang makipagsalitaan sa kanya.""]"
casam-an,9,0,C_TO_K,kasam-an,HIGH,SAFE,"['474: Iba ang aking sapantaha tungkol sa Dios—ang sinasabi niya—sa ganang akin ay hindi nasasawata ang isang casam-an ng casam-an din, at hindi ipinatatawad sa pamamag-itan ng mga walang cabuluhang pag-iyac at ng mga paglilimos sa Iglesia.', '474: Iba ang aking sapantaha tungkol sa Dios—ang sinasabi niya—sa ganang akin ay hindi nasasawata ang isang casam-an ng casam-an din, at hindi ipinatatawad sa pamamag-itan ng mga walang cabuluhang pag-iyac at ng mga paglilimos sa Iglesia.', ""1972: —At kayong nacacakita ng casam-an, ¿ano't hindi ninyo pinag-isip na bigyang cagamutan?""]"
camtan,9,0,C_TO_K,kamtan,HIGH,SAFE,"['3303: Nadidilidili naman ng camahalan niyang kinailangang siya\'y magpatulo ng maraming pawis at magcahirap ng di cawasa upang camtan niya ang catungculang hinahawacan, na tatlong taon lamang ang itatagal ng catungculang iyon, na sa pagka\'t siya\'y may catandaan na\'y kinacailangang huwag ng mag-iisip ng mga pagtutuwid ng lico at ng mga pagsasanggalang sa naaapi, kung di ang iguiguinhawa niya sa panahong darating; isang maliit na ""hotel"" (magandang bahay) sa Madrid, isang mainam na tahanan sa labas ng ciudad at isang magaling na pakikinabang sa taontaon sa patubuang salapi upang macapagbuhay-guinhawa sa pangulong bayang tahanan ng hari ang mga bagay ngang ito ang dapat paghanapin sa Filipinas.', ""3819: —¡Ginagawa ang lahat ng ito't ng camtan natin ang calangitan at magbalik loob tayo!"", ""4011: Puspos ka ng cabanalan, mahinhing may capurihan; mapagpacumbabang may camahalan; masunuring boo ang loob; mapagtiis sa cacaunting bagay na mapagmithi; kaaway na tapat ang loob; maawaing nagpapatawad; fraileng lubhang maselang; mapanampalatayang namimintacasi; mapaniwalaing walang malay; walang bahid calupaang sumisinta; hindi maimiking may tinagong lihim; mapagtiis na matiyaga; matapang na natatacot; mapagpiguil na may calooban; mapangahas na masulong; mapanalimang nagpapacatino; mahiyaing may carangalan; mapag-ingat ng iyong pag-aaring hindi mahinayangin; maliksing taglay ang kaya; mapagbigay galang na marunong makipagkapuwa-tao; matalas ang isip na ma-ingat; mahabaguing may awa, matimtimang may hiya; mapanghiganting matapang; sa casipaga'y dukha na mapagsang-ayon; mapag-impoc na mapagbiyaya; walang malay na nacacatalos; mapagbagong may kinauuwian; mapagwalangbahalang nagmimithing matuto: ¡linalang ka ng Dios upang camtan ang mga caayaayang lugod ng pagsintang malamlam!...""]"
caawaawa,9,0,C_TO_K,kaawaawa,HIGH,SAFE,"[""5601: Tiburcio Espadaña ang pangalan ng caawaawa, at baga man tatlompo't limang taon ang gulang ay tila matanda na; gayon ma'y lalong bata pa siya kay doña Victorina, na may tatlompo't dalawa lamang."", ""5617: Siya'y isang caawaawa; huwag po ninyong alisin sa kanyang bibig ang pagkain; kayo sana'y mag-asal mabait na kastila!"", '5970: —Napilitan akong tumacas at ng huwag magsabog ng dugong walang malay; natatacot humarap ang aking mga kaaway at ang kanila lamang inilalagay sa aking hirap ay ang ilang mga caawaawa, na walang ginawa sa akin cahit caliitliitang casam-an.']"
pingcaw,9,0,C_TO_K,pingkaw,HIGH,SAFE,"[""7957: Capanayam ng mga lalaki, na cawangis din naman ng mga babaeng sa kanilang pagmumukha'y nahihiwatigan kung ano ang kanilang pinag-aralan at ang kanilang pinagbuhatan, ang isang ginoong may catandaan na, maliit at pingcaw, na pinagpipitaganan ng mga naroroon, at siya nama'y nagpapakita sa kanyang mga caharap ng isang pagpapawalang halaga sa kanyang hindi pag-imic."", ""7966: —Mga ginoong babae,—anang pingcaw;—nalalaman ng kapitan general kung ano ang kanyang catungculan; ayon sa aking naringig ay totoong galit na galit siya; sa pagka't kanyang pinuspos ng mga biyaya ang Ibarrang iyan."", '7986: —ang biglang sinabi naman ng babaeng payat na ang pingcaw ang kinacausap.']"
catiwasayan,9,0,C_TO_K,katiwasayan,HIGH,SAFE,"[""2022: At sa pagka't ng mangyaring malimbag sa ulo ang mga caisipan ay kinacailangang maghari ang catiwasayan, sa labas hanggang sa loob, na magcaroon ng catahimican ang isip, magtamasa ng capayapaan ang katawan at ang calolowa at magtaglay ng masiglang loob, inacala kong ang unang dapat kong gawin ay ang maguing carayama ko ang mga bata, sa macatuwid baga'y huwag nila akong catacutan at ipalagay nila akong kaibigan, at ang sila'y matutong magmahal sa kanilang sarili."", '2049: Nawala ang catiwasayan, at muling naghari na naman ang capanglawan sa mga mukha ng mga batang nagpapasimula na ng pagguiliw sa akin: sila ang tanging mga carayama ko, ang tangi kong mga kaibigan.', ""2209: Ang gobernadorcillo, na higuit ang panglulupaypay sa kailan man; walang ginawa kahi't ano upang manag uli ang catiwasayan: naghihintay na sila ang kusang tumiwasay.""]"
magcacaroon,8,0,C_TO_K,magkakaroon,HIGH,SAFE,"[""1604: Muli siyang nagsaing, at inihanda ang tatlong lawlaw na natira: bawa't isa'y magcacaroon ng isa't calahati."", ""2082: ¿Sino ang nacaaalam kung doo'y magcacaroon po kayo ng sagot sa inyong mga tanong?"", '2606: ¿Inaacala baga ninyong magcacaroon tayo ng mabuting panahon?']"
tumatacas,8,0,C_TO_K,tumatakas,HIGH,SAFE,"[""1028: Siya lamang ang tangi, sa pagka't sinasabi ng mga babae na tumatacas daw sa cura ang diablo, dahilang sa ng minsang nangahas ang diablo na tucsuhin ang cura, siya'y hinuli nito, iguinapos sa paa ng catre at saka pinalo ng cordon, at kaya lamang siya inalpasan ay ng macaraan na ang siyam na araw."", ""1228: Nacapugay na lumalacad si Ibarra; sa kanyang mga mata'y walang bumabalong na isang luha man lamang, walang tumatacas sa kanyang dibdib kahi't isang buntong hininga."", ""1694: Ang bata'y tumacbo at nagtago sa licuran ng sacristan; ngunit siya'y tinangnan nito at inihanda ang kanyang katawan sa sumusubong galit ng cura; ang caawaawang bata'y nagpupumiglas, nagsisicad, sumisigaw, nagpapatinghiga, gumugulong, tumitindig, tumatacas, nadudulas, nasusubasob at sinasangga ng mga kamay ang mga hampas na sa pagka't nasusugatan ay biglang itinatago at umaatungal.""]"
excomulgado,8,0,C_TO_K,exkomulgado,HIGH,SAFE,"['4049: At bago niya iniaral sa bayang huag tularan ang gayong mga ""salvaje"", kung di bagcos pang lumayo at casusutan ang gayong mga tao, sa pagka\'t sila\'y pawang mga ""excomulgado.', '4054: Mana sabi ito ng santos concillos, at an hindi nasusunod, siya maguiguin ""excomulgado.', ""4914: —Itulot po ng camahalan ninyo,—ani pari Salvi ng buong capacumbabaan, na sa inyo'y ipaalaalang si ginoong Ibarra'y excomulgado....""]"
catutubong,8,0,C_TO_K,katutubong,HIGH,SAFE,"['254: Nang makapag-alinlang may ilang minuto, tinungo niya ang mga dalagang taglay ang calugodlugod na catutubong kilos.', '807: Wala na ang mabait at may wagas na puring ""Puente de Barcas,"" yaong tulay filipinong-mabait na nagsusumakit maglingcod, baga man taglay niya ang catutubong mga capintasang tumataas at bumababa alinsunod sa maibigan ng ilog Pasig na di miminsang nagpahirap at gumiba sa tulay na iyon.', '3812: Cadakilaan sa mga cahulugan, capangahasan sa mga munacala, mga bagong pananalita, cagandahan sa anyo, catutubong mga galaw, pagsasaysay na calugodlugod, calusugan ng mga adhica, narito ang mga hiyas ng Bossuet na kastila, na talagang carapatdapat nga ang kanyang malaking pagkabantog hindi lamang sa mga marurunong na mga kastila, kung di naman sa mga walang pinag-aralang mga ""indio"" at sa mga mapanglinlang na mga anak ng ""calangitang imperio"" (imperio ng cainsican).']"
canin,8,0,C_TO_K,kanin,HIGH,SAFE,"[""1592: Datapwat sa isang sawing palad na pagkakatao'y dumating ang asawa niya't kinain ang canin, ang tapang baboy ramo, ang hita ng pato, limang lawlaw at ang mga camatis."", '1669: May canin at may tuyong lawlaw.', '1855: ipatawad ninyo, hermana Rufa; Amanamin, Abaguinoong-Maria at Gloria ay katulad ng canin, ulam at patis, isang subo sa mga santo ...']"
lumacad,8,0,C_TO_K,lumakad,HIGH,SAFE,"[""2492: Nang makita ni Sisang siya'y sumasaguitna ng daan lumacad na siyang di alam ang ginagawa, at tumungo sa kanyang bahay, nagmamadali, walang ano mang takip ang ulo at ang tinititiga'y ang malayong tan-awin."", '3178: At ngayon, sa liwanag ng mapupula at malalaking ningas ng mga sigsig; at sa tugtog ng mga guitarra, bayaan natin silang lumacad na patungo sa bayan.', ""3184: Maingat na itinali ni Ibarra ang kanyang kabayo sa isang haligui, siya'y lumacad ng halos patiad ng pagdadahandahan at kanyang tinahac ang halamanang malinis at totoong magaling ang alaga; pinanhik ang hagdanan, at siya'y pumasoc, sa pagka't bukas ang pinto.""]"
capitan,8,0,C_TO_K,kapitan,HIGH,SAFE,"[""1266: —Siya nga po, ginoong capitan; natotowa ako sa pagka't may isa akong inaasahan."", '1280: Dala po ninyo riyan, ginoong capitan, ang isang arrobang candilang galing sa tindahan ng insic; may mahiguit ng sampong taong aking ipinakikiusap sa bawa\'t bagong kapitang bumibili ng pararrayos, at pinagtatawanan ako ng lahat; gayon ma\'y bumibili ng mga ""bomba"" at mga ""cohete"", at nangagbabayad ng mga repique ng mga campana.', ""2140: Itulot nga ninyong ako ang maunang magsalita sa pulong na itong kinakikitaan ko ng mga nalilimping totoong mga litaw na mga tao, gaya na nga ng ginoong casalucuyang capitan, ng kapitan pasado, ng kaibigan kong tanging si Don Valenting capitan pasado, ang aking kaibigan sa camusmusang si Don Julio, ang ating bantog na capitan ng mga cuadrillerong si Don Melchor, at marami pang mga caguinoohang di ko na sasabihi't ng huwag akong humaba, na nakikita ng inyong mga camahalang pawang caharap natin ngayon ipinamanhik ko po sa inyong mga camahalan ipahintulot na ako'y macapagsalita bago magsalita ang ibang sino man ¿Magtatamo kaya ako ng capalarang pahinuhod ang capulungan sa aking mapacumbabang capamanhican?""]"
nacasuot,8,0,C_TO_K,nakasuot,HIGH,SAFE,"['189: Nangagsidating ang iba pang mga tao, caacbay ang isang matandang castilang pilay, matamis at mabait ang pagmumukha, nacaacay sa bisig ng isang matandang babaeng filipinang puno ng culot ang buhok, may mga pinta ang mukha at nacasuot europea.', ""576: Gayon ma'y sasabihin din namin ang isang magandang San Miguel, na kahoy na dinorado at pinintahan, halos isang metro ang taas: nangangatabi ang arcangel, nanglilisic ang mga mata, cunot ang noo at kulay rosa ang mga pisngi; nacasuot sa caliwang kamay ang isang calasag griego, at iniyayamba ng kanan ang isang kris joloano, at handang sumugat sa namimintacasi o sa lumapit sa kanya, ayon sa nahihiwatigan sa kanyang acma at pagtinging hindi ang tungo'y sa demoniong may buntot at may mga sungay na ikinacagat ang kanyang mga pangil sa binting dalaga ng arcangel."", ""3890: Nacaupo si kapitang Tiagong nacasuot ng frac sa isa sa mga bangcong laan sa mga pinuno, dahil sa bagay na ito'y ang isip ng mga insic na sa kanya'y hindi nacakikilala'y gobernadorcillo rin siya kaya't hindi nangangahas na sa kanya'y lumapit.""]"
calaguitnaan,8,0,C_TO_K,kalaguitnaan,HIGH,SAFE,"[""1358: —Malaon pang totoo bago manaog ang ating Panginoong Jesucristo'y may Purgatorio na, at ito'y na sa calaguitnaan ng lupa, ayon kay pari Astete, o sa malapit sa Cluny, ayon sa monjang sinasabi ni pari Girard, datapwat hindi ang may cahulugan dito'y ang kinalalagyan."", ""1397: ; ngunit dito'y maisasagot na sa pagka't na sa calaguitnaan ng lupa ang Purgatorio, talagang dapat mapasailalim ng kapangyarihan ni San Pedro."", ""1760: Nang makita nilang dumarating ang cura ay nangagtindigan; nagpauna sa pagsalubong ang isang babae upang hagcan ang kanyang kamay; ngunit gumamit ang cura ng isang anyong cayamutan, kaya't napahinto ang babae sa calaguitnaan ng kanyang paglakad.""]"
cawayang,8,0,C_TO_K,kawayang,HIGH,SAFE,"[""1577: Nacapangalumbaba, minamasdan ang madilawdilaw at mahinang ningas ng cawayang pagdaca'y naguiguing abo ang kanyang madaling malugnaw na baga; malungcot na ngiti ang tumatanglaw sa kanyang mukha."", '2707: Natatanaw buhat sa malayo ang ilang tagac na nacadapo sa ibabaw ng mga dulo ng mga cawayang tolos, na ang anyo\'y nagsisipanood, samantalang nangagliliparang ang tungo\'y sa iba\'t ibang daco ang mga ""kalaway"" na hinihilahisan ng kanilang mga pakpak ang dakong ibabaw ng dagatan at pinupuspos ang impapawid ng kanilang mga huning nanunuot sa tainga.', '3384: Nangagtatayo sa mga daan, sa layong halos nagcacatuladtulad, ng maiinam na mga arcong cawayang binurdahan sa libolibong paraang tinatawag na ""sincaban"", at naliliguid ng mga caluscos, na makita lamang ng mga bata\'y nangagsasayahan na.']"
sicad,8,0,C_TO_K,sikad,HIGH,SAFE,"[""5097: Hindi nagsimba ng umagang iyon ang ginoong babae, hindi dahil sa siya'y aayaw, kun di baligtad, ibig sana niyang siya'y pakita sa caramihan at makinig ng sermon, ngunit hindi siya pinahintulutan ng kanyang asawa, at ang pagbabawal ay may kalakip, na gaya ng kinauugalian, na dalawa o tatlong lait, mga tungayaw at mga sicad."", '5207: Itinuro ang pintuan sa hindi marunong mag-ingat na asistente, at sa isang sicad ay sinarhan ang pinto, pagkalabas niya.', '5272: —ang iniaatungal, at kinacalabog ang pinto ng kanyang mga suntoc at sicad.']"
bucal,8,0,C_TO_K,bukal,HIGH,SAFE,"['590: Hindi dumaraan ang isang taong hindi siya nakikidalo sa pagpasa Antipolong malaki ang nagugugol, na ang dala\'y isang orquesta: kung naroroon na\'y pinagcacagulan niya ang dalawa sa lubhang maraming mga misa de graciang ginagawa sa buong tatlong siyam, at sa mga ibang araw na hindi ginagawa ang pagsisiyam, at naliligo pagkatapos sa bantog na ""batis"" o bucal, na ayon sa pinasasampalatayana\'y naligo roon ang mahal na larawan.', '593: —Doon sa tabi rin ng bucal na iyon ay dapat cumain si Kapitang Tiago ng inihaw na lechon, dalag na sinigang sa mga dahon ng alibangbang, at iba pang mga lutong humiguit cumulang ang sarap.', ""1748: Ang acala niya'y siya'y pastol ng kasama ng kanyang bunsong kapatid; nangunguha sila ng bayabas, ng alpay at ng iba pang mga paroparo sa calicsihan; pumapasoc sila sa mga yungib at nakikita nilang numiningning ang mga pader; naliligo sila sa mga bucal, at ang mga buhangin ay alaboc na guinto at ang mga bato'y tulad sa mga bato ng corona ng Virgen.""]"
nagcacamali,8,0,C_TO_K,nagkakamali,HIGH,SAFE,"[""1245: —¡Kayo po'y nagcacamali; wala akong guinagawang ano man sa inyong ama."", ""3142: ¿Kayo po'y nagcacamali marahil!"", '3366: —Ngayo\'y tunay na siya\'y nagcacamali: pinasimulaan ang ""comedia"" ng caunaunahan pa bago nangyari ang sa libingan.']"
