old_token,new_token,frequency,confidence,reason,reviewer_decision,decision_note
picapedrero,pikapedrero,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pacca,packa,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
magcamali,magkamali,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
concillos,koncillos,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
paghuhucom,paghuhukom,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cuello,kuello,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacahicayat,nakahikayat,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calinisang,kalinisang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nangagcacatipon,nangagkakatipon,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacawangis,nagkakawangis,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cumatha,kumatha,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calingain,kalingain,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinacamatanda,pinakamatanda,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinacamalaking,pinakamalaking,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
condenada,kondenada,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calan,kalan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catanungan,katanungan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
bucol,bukol,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabria,kabria,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
icagagalac,ikagagalac,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahulilip,kahulilip,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cawaning,kawaning,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macatwid,makatwid,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
napacarami,napakarami,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacacabayo,nakakabayo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
maquina,makina,2,HIGH,QU_TO_K,APPROVED,AUTO_HIGH_CONF
caunaunahan,kaunaunahan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabukiran,kabukiran,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacapapasoc,nakapapasoc,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nangagcacagulo,nangagkakagulo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
ipinangacong,ipinangakong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinagwiwicaan,pinagwiwikaan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasugat,nakasugat,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabutihan,kabutihan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
napacamahal,napakamahal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calolowa'y,kalolowa'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macapagpapaalaala,makapagpapaalaala,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macabubuhay,makabubuhay,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macapaniwala,makapaniwala,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahalayhalay,kahalayhalay,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catolicismo,katolicismo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
frasco,frasko,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
matatacutin,matatakutin,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nangagsisitacas,nangagsisitakas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahig,kahig,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinagcaratihang,pinagkaratihang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
musical,musikal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calaguitnaa'y,kalaguitnaa'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macatacas,makatakas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacapagsasalita,nakapagsasalita,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
matatacot,matatakot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catanghaliang,katanghaliang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinacabata,pinakabata,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
lumalacas,lumalakas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacataas,nakataas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
capaslangang,kapaslangang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
napacalaki,napakalaki,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cumikilala,kumikilala,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cagawad,kagawad,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catawa'y,katawa'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cacailanganin,kakailanganin,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cailaliman,kailaliman,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacagapos,nakagapos,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacapintang,nakapintang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
licura'y,likura'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
reliquia,relikia,2,HIGH,QU_TO_K,APPROVED,AUTO_HIGH_CONF
niyayacap,niyayakap,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
hinahawacan,hinahawakan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catolica,katolika,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cacatuwang,kakatuwang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
wiwicaing,wiwikaing,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
aritmetica,aritmetika,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catha,katha,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahilingan,kahilingan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caralitaan,karalitaan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
napacahigpit,napakahigpit,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacacacaya,nakakakaya,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calunya,kalunya,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahabaan,kahabaan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacadungaw,nakadungaw,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinacahaligui,pinakahaligui,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahinhinang,kahinhinang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacayucod,nakayukod,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cantahin,kantahin,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacakilala,nakakilala,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catcatin,katkatin,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
icabubuhay,ikabubuhay,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
escuela'y,eskuela'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macaaalis,makaaalis,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pacabutihin,pakabutihin,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasulat,nakasulat,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasalubong,nakasalubong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacabilibid,nakabilibid,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calapitan,kalapitan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahalili,kahalili,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caninong,kaninong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
palacol,palakol,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cumucubli,kumukubli,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
ticas,tikas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
magpacunuwari,magpakunuwari,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cupang,kupang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calabog,kalabog,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
yumayacap,yumayakap,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caparangalanan,kaparangalanan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
carikitan,karikitan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caputian,kaputian,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catatanggap,katatanggap,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahapisan,kahapisan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cagalinga'y,kagalinga'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macaapat,makaapat,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caanib,kaanib,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catumbas,katumbas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
ica,ika,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabayaran,kabayaran,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacasiya,nagkakasiya,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pagtutulacan,pagtutulakan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacacarinig,nakakarinig,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macarinig,makarinig,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
carrong,karrong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagpalacadlacad,nagpalakadlakad,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
casiglahan,kasiglahan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calampag,kalampag,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nalulungcot,nalulungkot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catacataca,katakataka,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacaunawa,nakaunawa,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nangangaco,nangangako,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacacabit,nagkakakabit,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calugod-lugod,kalugod-lugod,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahigpitang,kahigpitang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caguiliwan,kaguiliwan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinacahayop,pinakahayop,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macabati,makabati,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
amoniaco,amoniako,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
retorica,retorika,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caluban,kaluban,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calagaya'y,kalagaya'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacababagbag,nakababagbag,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabataa'y,kabataa'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasandal,nakasandal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacayacap,nakayakap,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
duque,duke,2,HIGH,QU_TO_K,APPROVED,AUTO_HIGH_CONF
cacatuwa,kakatuwa,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caul-ulan,kaul-ulan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macapangusap,makapangusap,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagpacalugmoc,nagpakalugmoc,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcasala,nagkasala,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macalampas,makalampas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacasala,nagkakasala,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahinahinayang,kahinahinayang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
magcacandila,magkakandila,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacatatanggap,nakatatanggap,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
culubong,kulubong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinagcaisahan,pinagkaisahan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calangitang,kalangitang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabutiha'y,kabutiha'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cacausapin,kakausapin,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
musicong,musikong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pacatapos,pakatapos,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
icaanim,ikaanim,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacasalang,nagkakasalang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
camaoo,kamaoo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacagugol,nagkakagugol,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasumpong,nakasumpong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
capayapaang,kapayapaang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
mapacumbabang,mapakumbabang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
magpacamatay,magpakamatay,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
capahintulutang,kapahintulutang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cadahilana't,kadahilana't,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caingguitan,kaingguitan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacakikita,nakakikita,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
corse,korse,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinapanucala,pinapanukala,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
casamaa'y,kasamaa'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cumiya,kumiya,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacapangungumpisal,nakapangungumpisal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacatatalos,nakatatalos,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catamistamisan,katamistamisan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
viatico,viatiko,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacabibingi,nakabibingi,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahihiya'y,kahihiya'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
magcucumpisal,magkukumpisal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacanlalabis,nagkakanlalabis,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinacumbo,pinakumbo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cautalan,kautalan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
acordeon,akordeon,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catunaya'y,katunaya'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pacacasal,pakakasal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacacaibig,nakakaibig,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
kinucurot,kinukurot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
halakhacan,halakhakan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macaitlong,makaitlong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacacacuha,nakakakuha,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cawang,kawang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacacapit,nakakapit,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cacanta,kakanta,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
tacapan,takapan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahahampas,kahahampas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cadakidakilaan,kadakidakilaan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pagbubucas,pagbubukas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catagal,katagal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacalimutan,nakalimutan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cara,kara,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacabalic,nakabalic,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahulugang,kahulugang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cayamutan,kayamutan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
magpacabuhay,magpakabuhay,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabulucan,kabulukan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacalilimot,nakalilimot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasisirang,nakasisirang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
carne,karne,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pacabicabila,pakabikabila,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagpapalacadlacad,nagpapalakadlakad,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cainan,kainan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
articulo,artikulo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caugalia'y,kaugalia'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
maglacadlacad,maglakadlakad,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
catabaan,katabaan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cumikintab,kumikintab,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacabilog,nagkakabilog,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
kinacamtan,kinakamtan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calacaran,kalakaran,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
mawiwica,mawiwika,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasuut,nakasuut,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahahandog,kahahandog,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcataong,nagkataong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
bancang,bankang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
napupucaw,napupukaw,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macapagbili,makapagbili,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caliwanagang,kaliwanagang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
hucuman,hukuman,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caloobang,kaloobang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
magcumpisal,magkumpisal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
flequillo,flekillo,2,HIGH,QU_TO_K,APPROVED,AUTO_HIGH_CONF
caapihang,kaapihang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
sinasacal,sinasakal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacadamit,nakadamit,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacatutulong,nakatutulong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinagcacagugulan,pinagkakagugulan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cumumpisal,kumumpisal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
carayama,karayama,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
curot,kurot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacaragdag,nakaragdag,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
gramatica,gramatika,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
ipinagtutulacan,ipinagtutulakan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cabilisan,kabilisan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cawal,kawal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cainipan,kainipan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macasusulat,makasusulat,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pucol,pukol,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calibugan,kalibugan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calabaza,kalabaza,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
bubucal,bubukal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacaroon,nagkakaroon,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nasubucan,nasubukan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calicot,kalikot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
mapagpasuco,mapagpasuko,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
kinacailanga'y,kinakailanga'y,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macapagturo,makapagturo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caalang-alanganan,kaalang-alanganan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cadilimang,kadilimang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cumacayat,kumakayat,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
casasabi,kasasabi,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cadalisayan,kadalisayan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
icawalong,ikawalong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
conventong,konventong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cawawaang,kawawaang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacasagot,nakasagot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macarating,makarating,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nanunungcod,nanunungkod,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
halica,halika,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cataohang,kataohang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
alicaboc,alikaboc,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cayabangan,kayabangan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacapagpapacunot,nakapagpapakunot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caaliwan,kaaliwan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacatanaw,nakatanaw,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pagbubucang,pagbubukang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
carikitang,karikitang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcacagayon,nagkakagayon,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
ilalacad,ilalakad,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pinagcayarian,pinagkayarian,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macasal,makasal,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cainaman,kainaman,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caligayahang,kaligayahang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
macapagsasaysay,makapagsasaysay,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
caliwang,kaliwang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
calasag,kalasag,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nangaco,nangako,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
pagkapaco,pagkapako,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
canang,kanang,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
kinumpascumpas,kinumpaskumpas,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
castillero,kastillero,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
cahangahanga,kahangahanga,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nacababagabag,nakababagabag,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
canonigo,kanonigo,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
mapanghawacan,mapanghawakan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
casamasamaan,kasamasamaan,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
napacaramot,napakaramot,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
nagcagugol,nagkagugol,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
castillong,kastillong,2,HIGH,C_TO_K,APPROVED,AUTO_HIGH_CONF
