token,count,proposed_modern
macacaya,4,macacaya
casasapitan,4,casasapitan
magcacasambahay,4,magcacasambahay
pagcabantog,4,pagcabantog
arquitecto,4,arquitecto
macalawa,4,macalawa
angcap,4,angcap
culungan,4,culungan
tumatacbong,4,tumatacbong
catuwaang,4,catuwaang
ipinamamahagui,4,ipinamamahagui
Tercera,4,Tercera
caguinoohan,4,caguinoohan
dagoc,4,dagoc
cahapo,4,cahapo
guingong,4,guingong
tuca,4,tuca
Wicang,4,Wicang
pagcatuclas,4,pagcatuclas
nacabiting,4,nacabiting
naguising,4,naguising
nacasara,4,nacasara
bendicion,4,bendicion
nacabaon,4,nacabaon
sacunang,4,sacunang
Canilang,4,Canilang
nacaligtas,4,nacaligtas
Alcaldeng,4,Alcaldeng
macapangahas,4,macapangahas
cababayang,4,cababayang
kinucuha,4,kinucuha
cambal,4,cambal
nagcacaisang,4,nagcacaisang
nacasiwang,4,nacasiwang
mawiwicang,4,mawiwicang
pumutoc,4,pumutoc
cahusayan,4,cahusayan
inaanac,4,inaanac
Caibigan,4,Caibigan
calayuan,4,calayuan
revolucionario,4,revolucionario
cataga,4,cataga
vicio,4,vicio
magcuculang,4,magcuculang
cahihinatnan,4,cahihinatnan
sangcap,4,sangcap
mangangalacal,4,mangangalacal
pagcaringig,4,pagcaringig
nacaringig,4,nacaringig
daracpin,4,daracpin
cainalam,4,cainalam
casamasamaan,4,casamasamaan
colegiong,4,colegiong
Pasco,4,Pasco
pagtacbo,4,pagtacbo
distinguido,4,distinguido
carcinoma,4,carcinoma
Colegio,4,Colegio
Marcos,4,Marcos
cubierta,3,cubierta
canonigo,3,canonigo
Capricho,3,Capricho
chaqueta,3,chaqueta
articulo,3,articulo
Cardenal,3,Cardenal
eclesiastico,3,eclesiastico
Nicolas,3,Nicolas
Lucia,3,Lucia
comandante,3,comandante
aguinaldo,3,aguinaldo
licenciatura,3,licenciatura
Seneca,3,Seneca
Cleopatra,3,Cleopatra
princesa,3,princesa
Cesar,3,Cesar
escopeta,3,escopeta
condesa,3,condesa
Socrates,3,Socrates
politica,3,politica
Escuela,3,Escuela
Paco,3,Paco
cuacha,3,cuacha
Secchi,3,Secchi
Psch,3,Psch
retorica,3,retorica
consulado,3,consulado
escultura,3,escultura
Cambises,3,Cambises
Sanchez,3,Sanchez
Central,3,Central
cofradia,3,cofradia
Bonifacio,3,Bonifacio
Cloches,3,Cloches
quinto,3,quinto
collar,3,collar
Grenicheux,3,Grenicheux
predicador,3,predicador
corredor,3,corredor
quien,3,quien
exequias,3,exequias
correo,3,correo
cubiertos,3,cubiertos
cojera,3,cojera
nacatatalos,3,nacatatalos
cahulilip,3,cahulilip
Octubre,3,Octubre
cadalian,3,cadalian
colado,3,colado
lumucso,3,lumucso
camatayang,3,camatayang
cababaan,3,cababaan
arquitectong,3,arquitectong
maceta,3,maceta
titic,3,titic
nacafrac,3,nacafrac
pakikipagcapuwa,3,pakikipagcapuwa
maicli,3,maicli
dominicong,3,dominicong
catalasan,3,catalasan
morisqueta,3,morisqueta
inianac,3,inianac
calahatlahatang,3,calahatlahatang
estanco,3,estanco
pagtalicod,3,pagtalicod
maglalacbay,3,maglalacbay
binangguit,3,binangguit
hihiguit,3,hihiguit
nacatulog,3,nacatulog
cahawig,3,cahawig
Reverencia,3,Reverencia
Cagalang,3,Cagalang
kinaladcad,3,kinaladcad
catawatawang,3,catawatawang
macasasakit,3,macasasakit
corde,3,corde
nagpacamatay,3,nagpacamatay
nagpapacamatay,3,nagpapacamatay
doctora,3,doctora
carilagdilagang,3,carilagdilagang
caymanggui,3,caymanggui
nagcamali,3,nagcamali
tumalicod,3,tumalicod
mapiguilan,3,mapiguilan
tatawaguing,3,tatawaguing
pagcat,3,pagcat
sinico,3,sinico
cabutiha,3,cabutiha
caracaraca,3,caracaraca
Ucol,3,Ucol
macasalubong,3,macasalubong
Tumahimic,3,Tumahimic
pamamahagui,3,pamamahagui
nagcapalad,3,nagcapalad
escuelaha,3,escuelaha
pinauunlacan,3,pinauunlacan
licor,3,licor
cadahilanang,3,cadahilanang
imican,3,imican
pagcatalastas,3,pagcatalastas
capangitan,3,capangitan
pagtatangkilic,3,pagtatangkilic
nangagcacailangan,3,nangagcacailangan
pagcacaalit,3,pagcacaalit
tinutucoy,3,tinutucoy
cagaspangan,3,cagaspangan
cahimahimala,3,cahimahimala
nacawala,3,nacawala
causa,3,causa
caningningan,3,caningningan
Nanhic,3,Nanhic
nacabucas,3,nacabucas
catapat,3,catapat
cahimahimalang,3,cahimahimalang
calansing,3,calansing
hungcag,3,hungcag
napapacalabis,3,napapacalabis
contrata,3,contrata
casundo,3,casundo
correa,3,correa
constitucional,3,constitucional
arcangel,3,arcangel
namimintacasi,3,namimintacasi
sacsi,3,sacsi
yacapin,3,yacapin
putic,3,putic
mahabaguing,3,mahabaguing
casaliwang,3,casaliwang
lechon,3,lechon
oficina,3,oficina
Lagui,3,Lagui
nacababagabag,3,nacababagabag
nacapagpapahirap,3,nacapagpapahirap
pagpapaunlac,3,pagpapaunlac
nagcagayo,3,nagcagayo
repique,3,repique
Audiencia,3,Audiencia
pinagsicapang,3,pinagsicapang
macasumpong,3,macasumpong
caayaaya,3,caayaaya
pinagcacaibhan,3,pinagcacaibhan
procesiong,3,procesiong
calapating,3,calapating
Escucha,3,Escucha
pagcarinig,3,pagcarinig
halica,3,halica
nacasisilaw,3,nacasisilaw
cagubatang,3,cagubatang
cahalingang,3,cahalingang
dingguin,3,dingguin
Cain,3,Cain
nacarinig,3,nacarinig
ipagcaloob,3,ipagcaloob
paglalacad,3,paglalacad
panaguimpan,3,panaguimpan
catang,3,catang
Macailang,3,Macailang
caibuturan,3,caibuturan
nacalulan,3,nacalulan
napacawalang,3,napacawalang
coronang,3,coronang
cartera,3,cartera
cabulastugan,3,cabulastugan
Lumacad,3,Lumacad
magcagugol,3,magcagugol
nacapagpapangiti,3,nacapagpapangiti
casayahang,3,casayahang
naglilicat,3,naglilicat
sacdal,3,sacdal
Pagcacagayo,3,Pagcacagayo
maglingcod,3,maglingcod
capintasang,3,capintasang
carretela,3,carretela
Botanico,3,Botanico
naciong,3,naciong
pagcacaumaga,3,pagcacaumaga
bunduc,3,bunduc
guinugunita,3,guinugunita
pinagsicapan,3,pinagsicapan
cagamitang,3,cagamitang
tropico,3,tropico
vacang,3,vacang
maglacbay,3,maglacbay
cajon,3,cajon
maguiliw,3,maguiliw
Nacaupo,3,Nacaupo
Capuwa,3,Capuwa
pucawin,3,pucawin
pagcahabag,3,pagcahabag
magcanulo,3,magcanulo
lico,3,lico
natacot,3,natacot
pagcalaguim,3,pagcalaguim
pagcalalaking,3,pagcalalaking
gahac,3,gahac
catha,3,catha
calugdan,3,calugdan
lumiguid,3,lumiguid
Machiavelo,3,Machiavelo
icapat,3,icapat
Vaticano,3,Vaticano
macapangyari,3,macapangyari
masasactin,3,masasactin
cumacanta,3,cumacanta
pacay,3,pacay
Carambas,3,Carambas
icasiyam,3,icasiyam
nacabarong,3,nacabarong
nangatatacot,3,nangatatacot
nagcacailangang,3,nagcacailangang
pinacamarami,3,pinacamarami
pagcakilala,3,pagcakilala
mapacasama,3,mapacasama
halimuyac,3,halimuyac
escribiente,3,escribiente
hinucay,3,hinucay
winica,3,winica
nacatimbong,3,nacatimbong
naghihicab,3,naghihicab
caligaligan,3,caligaligan
Tinahac,3,Tinahac
macaligtas,3,macaligtas
magca,3,magca
pinacamatanda,3,pinacamatanda
capusungan,3,capusungan
icasampong,3,icasampong
casaysayang,3,casaysayang
cristiana,3,cristiana
Cayong,3,Cayong
catacutan,3,catacutan
Sangcataohan,3,Sangcataohan
tangkilic,3,tangkilic
macaaalis,3,macaaalis
caladcarin,3,caladcarin
Crisping,3,Crisping
catulinan,3,catulinan
pinacahaligui,3,pinacahaligui
nacacacaya,3,nacacacaya
caanoano,3,caanoano
magcasala,3,magcasala
casiya,3,casiya
cundiman,3,cundiman
malicmata,3,malicmata
calan,3,calan
macatulog,3,macatulog
macainom,3,macainom
macahuli,3,macahuli
Nagcamit,3,Nagcamit
Higuit,3,Higuit
Mahiguit,3,Mahiguit
dangcal,3,dangcal
cara,3,cara
cacamtan,3,cacamtan
mamaguitna,3,mamaguitna
Casulatan,3,Casulatan
comediante,3,comediante
cocina,3,cocina
itanggui,3,itanggui
macacaibig,3,macacaibig
nacauunawa,3,nacauunawa
halakhac,3,halakhac
napiguil,3,napiguil
nasoc,3,nasoc
kinatatacutan,3,kinatatacutan
capakinabangan,3,capakinabangan
tungculin,3,tungculin
cabayanihan,3,cabayanihan
manumbalic,3,manumbalic
nangagcasiya,3,nangagcasiya
pagcaamis,3,pagcaamis
macapanghiganti,3,macapanghiganti
pagsicapan,3,pagsicapan
cortinang,3,cortinang
cerveza,3,cerveza
nangagtataca,3,nangagtataca
cahapong,3,cahapong
pumiguil,3,pumiguil
cahulihulihan,3,cahulihulihan
caguinoohang,3,caguinoohang
camahalang,3,camahalang
caculangang,3,caculangang
paputoc,3,paputoc
luces,3,luces
icalawa,3,icalawa
castillo,3,castillo
caila,3,caila
cawan,3,cawan
cabangisan,3,cabangisan
papuputucan,3,papuputucan
dacpin,3,dacpin
ipinagcacaloob,3,ipinagcacaloob
caagulo,3,caagulo
Guinagawa,3,Guinagawa
cagubatan,3,cagubatan
cabilugan,3,cabilugan
Nacaraan,3,Nacaraan
nacasungaw,3,nacasungaw
carikitdikitan,3,carikitdikitan
capanahuna,3,capanahuna
Nagcaroon,3,Nagcaroon
macatapos,3,macatapos
compas,3,compas
nacalilimot,3,nacalilimot
casucalan,3,casucalan
macacasumpong,3,macacasumpong
capapahirap,3,capapahirap
cagalang,3,cagalang
masoc,3,masoc
matacpan,3,matacpan
calaban,3,calaban
Crisostomong,3,Crisostomong
luclucan,3,luclucan
caputol,3,caputol
baguing,3,baguing
nacasulat,3,nacasulat
matatacutin,3,matatacutin
cagawad,3,cagawad
pagcacautangan,3,pagcacautangan
yumuyucod,3,yumuyucod
angcan,3,angcan
cubierto,3,cubierto
caligaligaya,3,caligaligaya
Carvajal,3,Carvajal
hinahagcan,3,hinahagcan
cathang,3,cathang
pacong,3,pacong
Pagdaca,3,Pagdaca
macalilibong,3,macalilibong
napacarami,3,napacarami
guinugol,3,guinugol
carikitan,3,carikitan
pagcalalaki,3,pagcalalaki
ipacacasal,3,ipacacasal
relicario,3,relicario
cuminang,3,cuminang
procesio,3,procesio
sicmura,3,sicmura
aantoc,3,aantoc
tiguil,3,tiguil
Alcala,3,Alcala
batoc,3,batoc
cunuwa,3,cunuwa
confesionario,3,confesionario
cataastaasang,3,cataastaasang
naglilingcod,3,naglilingcod
caalaban,3,caalaban
Carilagdilagang,3,Carilagdilagang
maglalaco,3,maglalaco
cardenal,3,cardenal
nagwiwicang,3,nagwiwicang
mapagpacumbabang,3,mapagpacumbabang
cauculang,3,cauculang
macatwid,3,macatwid
iyacan,3,iyacan
utac,3,utac
cumapit,3,cumapit
itiguil,3,itiguil
maquina,3,maquina
nacocoronahan,3,nacocoronahan
pumucaw,3,pumucaw
catiyagaan,3,catiyagaan
cumikilala,3,cumikilala
macapagpasiya,3,macapagpasiya
pagcatao,3,pagcatao
cajang,3,cajang
Escribano,3,Escribano
pagcamasid,3,pagcamasid
capintasan,3,capintasan
taguinting,3,taguinting
cucunin,3,cucunin
nagcacaroon,3,nagcacaroon
macapagbili,3,macapagbili
cumare,3,cumare
nangagsisiimic,3,nangagsisiimic
caimbihan,3,caimbihan
pinacamamahal,3,pinacamamahal
mayacap,3,mayacap
casamasamaang,3,casamasamaang
capacanan,3,capacanan
iibiguin,3,iibiguin
magcacapaaralan,3,magcacapaaralan
ikinacait,3,ikinacait
calacaran,3,calacaran
caban,3,caban
caalacbay,3,caalacbay
centinela,3,centinela
capis,3,capis
pagcayamot,3,pagcayamot
casisicad,3,casisicad
cabong,3,cabong
talasoc,3,talasoc
cahig,3,cahig
calampagan,3,calampagan
escenario,3,escenario
inihaguis,3,inihaguis
Calamba,3,Calamba
categoria,3,categoria
tiguib,3,tiguib
nagcasakit,3,nagcasakit
canal,3,canal
Carlicos,3,Carlicos
pinacamaliit,3,pinacamaliit
guiliw,3,guiliw
Nagbalic,3,Nagbalic
caracaracang,3,caracaracang
capatawaran,3,capatawaran
nacarating,3,nacarating
macalampas,3,macalampas
casilacbuhan,3,casilacbuhan
casiraang,3,casiraang
pitac,3,pitac
catiwala,3,catiwala
pangangalacal,3,pangangalacal
lasac,3,lasac
sacsac,3,sacsac
cucuha,3,cucuha
carruajeng,3,carruajeng
tacapan,3,tacapan
nacahilig,3,nacahilig
pakikihamoc,3,pakikihamoc
ipacasal,3,ipacasal
cahalayhalay,3,cahalayhalay
Hacienda,3,Hacienda
Kinaladcad,3,Kinaladcad
tatacas,3,tatacas
cacanan,3,cacanan
Campo,3,Campo
politico,3,politico
Correa,3,Correa
Carmen,3,Carmen
quod,3,quod
pakikibaca,3,pakikibaca
ipinahamac,3,ipinahamac
sumicat,3,sumicat
Sangcapuluang,3,Sangcapuluang
edificio,3,edificio
Natuclasan,3,Natuclasan
Cuadrillero,3,Cuadrillero
Apostolica,3,Apostolica
centimo,3,centimo
Caraingang,3,Caraingang
versiculo,3,versiculo
Jacinto,2,Jacinto
CUBIERTA,2,CUBIERTA
Calipso,2,Calipso
quevedo,2,quevedo
actu,2,actu
clasico,2,clasico
tercera,2,tercera
curato,2,curato
calendario,2,calendario
canon,2,canon
caldero,2,caldero
Melchor,2,Melchor
facultad,2,facultad
muceta,2,muceta
Tacito,2,Tacito
Clemente,2,Clemente
Cartago,2,Cartago
Cecilia,2,Cecilia
Academia,2,Academia
codillo,2,codillo
vobiscum,2,vobiscum
victoria,2,victoria
carabineros,2,carabineros
celestiales,2,celestiales
contrabando,2,contrabando
Aquino,2,Aquino
Pontificia,2,Pontificia
ampliacion,2,ampliacion
matricula,2,matricula
quantum,2,quantum
superficies,2,superficies
consecuentiam,2,consecuentiam
contra,2,contra
censura,2,censura
carrera,2,carrera
licenciado,2,licenciado
Canton,2,Canton
chaleco,2,chaleco
carpinteria,2,carpinteria
cabesa,2,cabesa
quiere,2,quiere
cuando,2,cuando
paciencioso,2,paciencioso
caracteres,2,caracteres
americana,2,americana
provinciano,2,provinciano
marchez,2,marchez
cancan,2,cancan
ici,2,ici
Casa,2,Casa
Toxicologia,2,Toxicologia
Cristina,2,Cristina
caballero,2,caballero
Pirotecnia,2,Pirotecnia
cogi,2,cogi
conmigo,2,conmigo
queda,2,queda
poco,2,poco
casa,2,casa
sic,2,sic
parroquia,2,parroquia
Cave,2,Cave
cadas,2,cadas
Sanctus,2,Sanctus
oraculo,2,oraculo
lacayo,2,lacayo
volcan,2,volcan
fantoche,2,fantoche
Schiller,2,Schiller
electrica,2,electrica
nacamamatay,2,nacamamatay
Cancer,2,Cancer
nacapagpapaalab,2,nacapagpapaalab
PANGWACAS,2,PANGWACAS
BAHAGUI,2,BAHAGUI
pagsisicapan,2,pagsisicapan
pacundangan,2,pacundangan
nacatatakip,2,nacatatakip
carupucan,2,carupucan
Cawangis,2,Cawangis
corbata,2,corbata
Guinawa,2,Guinawa
iguiniguiba,2,iguiniguiba
cabila,2,cabila
tucoy,2,tucoy
pawican,2,pawican
catamistamisang,2,catamistamisang
marco,2,marco
cabutihang,2,cabutihang
nacuculong,2,nacuculong
huguis,2,huguis
camalacmalac,2,camalacmalac
carami,2,carami
iilaguin,2,iilaguin
palaguing,2,palaguing
hicab,2,hicab
nacaputi,2,nacaputi
catedratico,2,catedratico
dialectico,2,dialectico
namamangca,2,namamangca
kinacatcat,2,kinacatcat
iniucol,2,iniucol
kinucumpisal,2,kinucumpisal
nagcacawatasan,2,nagcacawatasan
pinacaibig,2,pinacaibig
magcaibigan,2,magcaibigan
mapagcuro,2,mapagcuro
Napaca,2,Napaca
nacaakit,2,nacaakit
pagcahuli,2,pagcahuli
pagcamangha,2,pagcamangha
inilacas,2,inilacas
Macapangyarihan,2,Macapangyarihan
accidens,2,accidens
nacapanayam,2,nacapanayam
almacenero,2,almacenero
aabanico,2,aabanico
natuclasan,2,natuclasan
icapito,2,icapito
macatalos,2,macatalos
pagcatigagal,2,pagcatigagal
pagbebendicion,2,pagbebendicion
magalac,2,magalac
Cahimanawari,2,Cahimanawari
caramiha,2,caramiha
pakikipagcapwa,2,pakikipagcapwa
kinucuyumos,2,kinucuyumos
Campana,2,Campana
catedra,2,catedra
confesor,2,confesor
iniwacas,2,iniwacas
Luculo,2,Luculo
Colonia,2,Colonia
lumacas,2,lumacas
Guinagamit,2,Guinagamit
catas,2,catas
mapagwicaan,2,mapagwicaan
nangagcacawangis,2,nangagcacawangis
cupas,2,cupas
Sacristia,2,Sacristia
nanaguinip,2,nanaguinip
acera,2,acera
catacatacang,2,catacatacang
magpacaingat,2,magpacaingat
pagcahiwatig,2,pagcahiwatig
caiclian,2,caiclian
nagcucumpisal,2,nagcucumpisal
atricion,2,atricion
nacararagdag,2,nacararagdag
nanasoc,2,nanasoc
pinagtatadyacan,2,pinagtatadyacan
nanglilibac,2,nanglilibac
pinagwicaan,2,pinagwicaan
vascongado,2,vascongado
sinuntoc,2,sinuntoc
periodicong,2,periodicong
pinacacain,2,pinacacain
mapagcandiling,2,mapagcandiling
maibiguin,2,maibiguin
cahatulang,2,cahatulang
pagcalagot,2,pagcalagot
cuerdas,2,cuerdas
nangapupucaw,2,nangapupucaw
nangguiguitna,2,nangguiguitna
pagcagandagandang,2,pagcagandagandang
cumikislap,2,cumikislap
nacasisira,2,nacasisira
Capampangan,2,Capampangan
nagpapacain,2,nagpapacain
ipinagcacatiwala,2,ipinagcacatiwala
macababasa,2,macababasa
cadalasa,2,cadalasa
capangyariha,2,capangyariha
Catorce,2,Catorce
capilla,2,capilla
Vicente,2,Vicente
haliguing,2,haliguing
macapagsasaysay,2,macapagsasaysay
nanglilisic,2,nanglilisic
caliwang,2,caliwang
calasag,2,calasag
acma,2,acma
nangaco,2,nangaco
pagcapaco,2,pagcapaco
canang,2,canang
kinumpascumpas,2,kinumpascumpas
macaitlo,2,macaitlo
pagcatalo,2,pagcatalo
castillero,2,castillero
Oficial,2,Oficial
Malacanyang,2,Malacanyang
cahangahanga,2,cahangahanga
Naguiguing,2,Naguiguing
Catedral,2,Catedral
mapanghawacan,2,mapanghawacan
napacaramot,2,napacaramot
nagcagugol,2,nagcagugol
caligayahang,2,caligayahang
macasal,2,macasal
inanac,2,inanac
pagbangguit,2,pagbangguit
azucena,2,azucena
pagcamaramdamin,2,pagcamaramdamin
conventong,2,conventong
pinagcayarian,2,pinagcayarian
Ancora,2,Ancora
pagcainip,2,pagcainip
catowiran,2,catowiran
nacasagot,2,nacasagot
pagcahibang,2,pagcahibang
cataohang,2,cataohang
alicaboc,2,alicaboc
cabello,2,cabello
cayabangan,2,cayabangan
nacapagpapacunot,2,nacapagpapacunot
pagcaramiraming,2,pagcaramiraming
Laguing,2,Laguing
caaliwan,2,caaliwan
nacatanaw,2,nacatanaw
pagbubucang,2,pagbubucang
carikitang,2,carikitang
naglacad,2,naglacad
nagcacagayon,2,nagcacagayon
guibang,2,guibang
castillong,2,castillong
naglacbay,2,naglacbay
macapaglaro,2,macapaglaro
catapusan,2,catapusan
ipinamamanhic,2,ipinamamanhic
sumasacay,2,sumasacay
carromata,2,carromata
chinelas,2,chinelas
humahaguing,2,humahaguing
caingayang,2,caingayang
lubac,2,lubac
Barcas,2,Barcas
caliwa,2,caliwa
cigarrera,2,cigarrera
catatawanan,2,catatawanan
guindilla,2,guindilla
colonia,2,colonia
guilid,2,guilid
nagbucas,2,nagbucas
Pinagsicapan,2,Pinagsicapan
cayamanang,2,cayamanang
caratnan,2,caratnan
nacahahalina,2,nacahahalina
nacadapo,2,nacadapo
capong,2,capong
nangaglulucsuhan,2,nangaglulucsuhan
nangagtatacbuhang,2,nangagtatacbuhang
cuco,2,cuco
catapangang,2,catapangang
nacacaakit,2,nacacaakit
panyapac,2,panyapac
pumipiguil,2,pumipiguil
catuturan,2,catuturan
mataric,2,mataric
tinahac,2,tinahac
nacacunot,2,nacacunot
cumusta,2,cumusta
iibiguing,2,iibiguing
Quos,2,Quos
pakikipagcagalit,2,pakikipagcagalit
cabigatan,2,cabigatan
Pagsicapan,2,Pagsicapan
macaalawa,2,macaalawa
umaacyat,2,umaacyat
cagamitan,2,cagamitan
nacahihicayat,2,nacahihicayat
terciopelong,2,terciopelong
cabuti,2,cabuti
encantado,2,encantado
nangacong,2,nangacong
cagulangan,2,cagulangan
macalabas,2,macalabas
nacapangyari,2,nacapangyari
cainaman,2,cainaman
sumasacanyang,2,sumasacanyang
Quirinal,2,Quirinal
macatagal,2,macatagal
sacasacali,2,sacasacali
mapaghihinanactan,2,mapaghihinanactan
iguinapos,2,iguinapos
makipagcagalit,2,makipagcagalit
colorete,2,colorete
jicarang,2,jicarang
nacasalacot,2,nacasalacot
pagcasumpong,2,pagcasumpong
humihilic,2,humihilic
Guinea,2,Guinea
Africa,2,Africa
aacalang,2,aacalang
calunuran,2,calunuran
natitiric,2,natitiric
pandacaki,2,pandacaki
nacacakilala,2,nacacakilala
hucayin,2,hucayin
Humalakhac,2,Humalakhac
hinuhucay,2,hinuhucay
Cumuha,2,Cumuha
macabalic,2,macabalic
iguinuhit,2,iguinuhit
hucayi,2,hucayi
tinatahac,2,tinatahac
Naliliguid,2,Naliliguid
pinatiguil,2,pinatiguil
Naglalacad,2,Naglalacad
Natatacot,2,Natatacot
macalimot,2,macalimot
aacala,2,aacala
nacatitisod,2,nacatitisod
icawalong,2,icawalong
Kinuscos,2,Kinuscos
catimbang,2,catimbang
caaliw,2,caaliw
pagcacatatag,2,pagcacatatag
Cristiana,2,Cristiana
nacakilala,2,nacakilala
catolica,2,catolica
catolicismo,2,catolicismo
Comedia,2,Comedia
Caronte,2,Caronte
lumucloc,2,lumucloc
Capitolio,2,Capitolio
catanghaliang,2,catanghaliang
pagcadala,2,pagcadala
namumulaclac,2,namumulaclac
cailaliman,2,cailaliman
Florencia,2,Florencia
etc,2,etc
Mananacop,2,Mananacop
cadalisayan,2,cadalisayan
pagcacasala,2,pagcacasala
Canya,2,Canya
nacataas,2,nacataas
pinacabata,2,pinacabata
matatacot,2,matatacot
cuartang,2,cuartang
cumucubli,2,cumucubli
pagcasara,2,pagcasara
napacahigpit,2,napacahigpit
caralitaan,2,caralitaan
Malungcot,2,Malungcot
Cristong,2,Cristong
nananaguinip,2,nananaguinip
sicmurang,2,sicmurang
cagaycay,2,cagaycay
nacatago,2,nacatago
ipasoc,2,ipasoc
Nacapatong,2,Nacapatong
pagcacatao,2,pagcacatao
pagpiguil,2,pagpiguil
Malacas,2,Malacas
Natacot,2,Natacot
malicmatang,2,malicmatang
calingain,2,calingain
nacapapasoc,2,nacapapasoc
guiguirayguiray,2,guiguirayguiray
suca,2,suca
kinucusa,2,kinucusa
tacpan,2,tacpan
humahaguinit,2,humahaguinit
pagcatulig,2,pagcatulig
magsasacristan,2,magsasacristan
cacain,2,cacain
carne,2,carne
pagcahimbing,2,pagcahimbing
pananaguinip,2,pananaguinip
nagpapalacadlacad,2,nagpapalacadlacad
cayamutan,2,cayamutan
Napacalabis,2,Napacalabis
nagcacabilog,2,nagcacabilog
kinacamtan,2,kinacamtan
pagcagayo,2,pagcagayo
cristo,2,cristo
dulcisimo,2,dulcisimo
kinucurot,2,kinucurot
macaitlong,2,macaitlong
nacacacuha,2,nacacacuha
catunaya,2,catunaya
cawang,2,cawang
guinising,2,guinising
pagcacatanggap,2,pagcacatanggap
ipinagtutulacan,2,ipinagtutulacan
pinacsa,2,pinacsa
lucsa,2,lucsa
namamahagui,2,namamahagui
macasusulat,2,macasusulat
kinacailanga,2,kinacailanga
macapagturo,2,macapagturo
caalang,2,caalang
Guinamit,2,Guinamit
gramatica,2,gramatica
caapihang,2,caapihang
Nacatindig,2,Nacatindig
Ciruela,2,Ciruela
pagcacagayon,2,pagcacagayon
guinaganap,2,guinaganap
nacatutulong,2,nacatutulong
guising,2,guising
carayama,2,carayama
nanglibac,2,nanglibac
catedral,2,catedral
pasaclolo,2,pasaclolo
Binabangguit,2,Binabangguit
pagguiliw,2,pagguiliw
caguiliwan,2,caguiliwan
maiicling,2,maiicling
calagaya,2,calagaya
nacasandal,2,nacasandal
macaapat,2,macaapat
mapacumbabang,2,mapacumbabang
capahintulutang,2,capahintulutang
magbabalic,2,magbabalic
caingguitan,2,caingguitan
pinapanucala,2,pinapanucala
catalo,2,catalo
director,2,director
nacabibingi,2,nacabibingi
nagcacanlalabis,2,nagcacanlalabis
casasabi,2,casasabi
mabucsan,2,mabucsan
macasang,2,macasang
nacatatanggap,2,nacatatanggap
Ipinamamanhic,2,Ipinamamanhic
princesang,2,princesang
paghahamoc,2,paghahamoc
pagcamasintahin,2,pagcamasintahin
patacbuhan,2,patacbuhan
Casucatan,2,Casucatan
musicong,2,musicong
pacatapos,2,pacatapos
camaoo,2,camaoo
nagcacagugol,2,nagcacagugol
Tumatacbo,2,Tumatacbo
cahihiya,2,cahihiya
catamistamisan,2,catamistamisan
malalawac,2,malalawac
nacakikita,2,nacakikita
humahacbang,2,humahacbang
humacbang,2,humacbang
nagpacalugmoc,2,nagpacalugmoc
caul,2,caul
nagpalacadlacad,2,nagpalacadlacad
Tumacbo,2,Tumacbo
macarinig,2,macarinig
guiba,2,guiba
nacacarinig,2,nacacarinig
caputian,2,caputian
cacatuwa,2,cacatuwa
Maguinaw,2,Maguinaw
Tumbalic,2,Tumbalic
tagguinaw,2,tagguinaw
nacayacap,2,nacayacap
cabataa,2,cabataa
gumiguising,2,gumiguising
Tahimic,2,Tahimic
guinagagad,2,guinagagad
nagcacacabit,2,nagcacacabit
pagcacagayac,2,pagcacagayac
pinacumbo,2,pinacumbo
maguinhawa,2,maguinhawa
acordeon,2,acordeon
curot,2,curot
Yapacan,2,Yapacan
Pumapasoc,2,Pumapasoc
pamanhic,2,pamanhic
magcumpisal,2,magcumpisal
caliwanagang,2,caliwanagang
Tica,2,Tica
bancang,2,bancang
nasubucan,2,nasubucan
panaloc,2,panaloc
calabaza,2,calabaza
cainipan,2,cainipan
Nangagpacpacan,2,Nangagpacpacan
Victoriang,2,Victoriang
cahahampas,2,cahahampas
cacanta,2,cacanta
pagcahulog,2,pagcahulog
Ipinagcaloob,2,Ipinagcaloob
nacacagunitang,2,nacacagunitang
nilucso,2,nilucso
nacacapit,2,nacacapit
baac,2,baac
nacabalic,2,nacabalic
cumikintab,2,cumikintab
cawali,2,cawali
pagcabasa,2,pagcabasa
lacre,2,lacre
tinicman,2,tinicman
maglacad,2,maglacad
nangagcacagulo,2,nangagcacagulo
calinisang,2,calinisang
nangagcacatipon,2,nangagcacatipon
Pacanin,2,Pacanin
ipinangacong,2,ipinangacong
pagbabalic,2,pagbabalic
capanahunang,2,capanahunang
calaghatian,2,calaghatian
Jaque,2,Jaque
Casinungalingan,2,Casinungalingan
pagbabalacbalac,2,pagbabalacbalac
capanayam,2,capanayam
nacatitic,2,nacatitic
magcamali,2,magcamali
inacalang,2,inacalang
nacayucod,2,nacayucod
susunuguin,2,susunuguin
pagcaligtas,2,pagcaligtas
pacabutihin,2,pacabutihin
bagabaguin,2,bagabaguin
caninong,2,caninong
pagcuha,2,pagcuha
nangguiguilid,2,nangguiguilid
magpacunuwari,2,magpacunuwari
macapaniwala,2,macapaniwala
pagcakitang,2,pagcakitang
himutoc,2,himutoc
capaslangang,2,capaslangang
licura,2,licura
hinahawacan,2,hinahawacan
pagcaunlac,2,pagcaunlac
macapagpapaalaala,2,macapagpapaalaala
ilagpac,2,ilagpac
malawac,2,malawac
cupang,2,cupang
icabubuhay,2,icabubuhay
sumacay,2,sumacay
caunaunahan,2,caunaunahan
