token,count,example_contexts,chapters
pagsasaca,4,"Acalain ninyong mula ng ako'y dumating sa lupaing ito'y ako'y iniucol na sa isang bayang maliit nga, ngunit totoong dumog sa pagsasaca. | Hindi nag-ilang buwan at naparoon ang isang binatang wari'y mestizong kastila, na ang sabi'y anak daw siya ng nasira, at nanahan sa suloc na iyon at nangasiwa sa pagsasaca, lalonglalo na sa pagtatanim ng tina. | Sa pagka't hindi manyaring sila'y aking maturuan ng wikang kastila, at hindi ko rin naman maisatagalog ang gayong caraming mga libro, pinapilitan kong halinhang unti-unti ng maiicling bahaguing sipi sa mga napapakinabangang mga librong tagalog, gaya baga ng maliit na casaysayan ng pakikipagcapuwa tao ni Hortensio at ni Feliza, ilang mga maliliit na librong patnugot sa pagsasaca, at iba pa.","noli:46,noli:1,noli:19,noli:10"
macacakita,4,"—Tunay nga—ang sagot naman ng bulilit na lalaking siyang binangguit—¡hindi po kayo macacakita sa alin mang panig ng daigdig ng hihiguit pa sa pagka indolente ng indio, sa alin mang panig ng daigdig! | —Inaacala kong napacalampas naman ang mga tacot na iyan, at umaasa akong aking magagawa ang aking mga panucala, na hindi ako macacakita ng malalaking mga hadlang sa dakong iyan. | —Wala po kayong nakikita kung di ang mga taong dito sa ciudad ay humihilahod, hindi po ninyo nadadalaw ang pinararatangang mga dampa sa aming mga bayan; kung mamasid po sana ninyo sila'y macacakita kayo ng tunay na may magandang puso at mga dalisay na caasalan.","noli:1,noli:60,noli:37,noli:25"
napaca,4,"huwag kayong napaca magugunigunihin! | Hindi kami macasang-ayon sa palagay na munacala ng teniente mayor, sa pagka't sa ganang amin ay napaca labis naman. | Ang gayong mapacaraming mga bomba at ang gayong napaca raming gabi ng pagpapalabas ng comedia'y ang macacaibig lamang ay ang isang batang gaya ng teniente mayor, na macapagpupuyat ng maraming gabi at macapakikinig ng maraming putoc na di mabibingi.","noli:20,noli:1,noli:42"
catre,4,"Hayaan ninyong macaraan ang ilang bowan; magbabago kayong isipan pagka kayo'y nacapagmalimit sa maraming mga fiesta at ""bailujan"", nacatulog sa mga catre at nacacain ng maraming ""tinola"". | Siya lamang ang tangi, sa pagka't sinasabi ng mga babae na tumatacas daw sa cura ang diablo, dahilang sa ng minsang nangahas ang diablo na tucsuhin ang cura, siya'y hinuli nito, iguinapos sa paa ng catre at saka pinalo ng cordon, at kaya lamang siya inalpasan ay ng macaraan na ang siyam na araw. | Samantalang binabawi ko ang lacas sa mga bisig ni Morfeo, sa macatuwid baga'y sa catre ng convento, hinahangad ko, tangi kong caibigang kayo'y matamo ng magandang gabi at hanggang bucas, isang araw na dakila.","noli:11,noli:1,noli:28,noli:58"
suntoc,4,"Di caguinsaguinsa'y pinacabigyanbigyan ng suntoc ang palungan ng kamay ng canyang sillon, huminga ng malacas at nagsalita: | —ang iniaatungal, at kinacalabog ang pinto ng canyang mga suntoc at sicad. | —Sa pamamag-itan ng aking mga suntoc,—ang isinagot ng pinacamalaki sa kanila.","noli:56,noli:39,noli:1,noli:52"
sacuna,4,"—¡Kaya dumarating dito ang lubhang maraming mga sacuna! | Aayaw ng pumaroon ang matatandang babae sa cabilang baclad, ibig na nilang umuwi, at ang kanilang minamatuwid ay nagpasimula raw ng masama ang araw, at baka may mangyaring maraming sacuna. | —Datapwat ¿ano po bang sacuna ang nangyari sa atin, mga ginoong babae?","noli:27,noli:1,noli:23"
Carilagan,4,"—¡Pari, ang canyang Carilagan (ang marilag bagang Gobernador General) ay Vice-Real Patrono,—ang sigaw ng teniente na nagtindig. | —¡Ano bang Carilagan o Vice-Real Patrono man! | Ang ""Canyang Carilagan,"" (o ang marilag na Gobernador General) ang pinacacatawan ng Canyang Macapangyarihan, ang Hari.",noli:1
franciscanong,4,"—ang sagot ng franciscanong nagtindig din. | Ngunit hindi tumutulog, nagpupuyat, ang batang franciscanong hindi pa nalalaong nakita nating hindi cumikilos at hindi umiimic. | Si Fr. Bernardo Salvi ay yaong bata at hindi makibuing franciscanong sinaysay na namin sa unahan nito.","noli:11,noli:1,noli:32,noli:5"
Acala,4,—¿Acala ba ninyo't may suot akong habito'y wala akong ...? | ¿Acala ba ninyo't kami'y mga ducha'y?... | —¿Acala yata ninyo'y hindi nalalaman kung sino kayo at kung sino ang taong inyong daladala?,"noli:41,noli:1,noli:50,noli:47"
casinungalingan,4,"Ako ma'y hindi rin nangungumpisal, ngunit sabihing nagpacamatay, iya'y isang casinungalingan, isang paratang. | ¡casinungalingan! | —Ngayon di'y pasasa Maynila kami; ikaw, ikaw ay matitira rito upang siya'y hamunin mo ng away, at kung hindi'y sasabihin ko kay Don Santiago na pawang casinungalingan ang lahat mong sinabi sa kanya, sasabihin kong....","noli:58,noli:1,noli:24,noli:47"
nacatuclas,4,"—Isang taong hindi nacatuclas ng polvora—ang idinugtong ni Laruja. | ¡Ang nacatuclas ng paggawa ng polvora'y isang franciscano, isa sa aming samahan, Fr. Hindi ko maalaman Savalls, ng siglong ... | —Lalong magaling kung siya ang nacatuclas ng paggawa ng polvora, sa pagka't sa gayo'y naibsan na niya sa pagkakapagod sa gayong bagay ang canyang mga kapatid.","noli:1,noli:54"
icalabing,4,"—At ng icalabing-apat na siglo at hindi ng icapito—ang idinugtong ng dominico, na ang anyo'y parang sinasala ang camalian at ng pasakitan ang capalaluan niyong isang fraile. | —¿At sinasabi po ninyo, pari Sibyla, na nangyari ang bagay na iyon ng icalabing apat na siglo? | Datapwa't mula ng maisipan ng mga artista sa Tundong gumawa ng labanan bawa't icalabing limang ""segundo"" at maglagay ng dalawang tupay, at magpalabas ng mga cathang lalo ng di sucat mapaniwalaan, mula noo'y kanilang natabunan ang kanilang mga capangagaw na mga taga lalawigan.","noli:1,noli:26,noli:28"
humawac,4,"Untiunting iniurong ni Ibarra ang canyang kamay na iniacmang humawac sa kamay ni pari Damaso, at tiningnan niya ito ng buong pangguiguilalas; lumingon at ang nakita niya'y ang mabalasic na anyo ng teniente, na nagpapatuloy ng pagmamasid sa kanya. | Sumigaw ang cura't binitiwan ang yantoc; humawac ang sacristan mayor ng isang baston at pinalo sa ulo si Crispin, natimbuang ang bata sa pagkatulig; ng makita ng curang siya'y may sugat ay pinagtatadyacan si Crispin; ngunit ito'y hindi na nagsasanggalang, hindi na sumisigaw: gumugulong sa tablang parang isang bagay na hindi nacacaramdam at nag-iiwan ng bacas na basa ... | Ngunit humawac sa canyang bisig ang ul-ol na babae, sa gitna ng malaking pangingilabot ng tao, at ito ang canyang sinabi:","noli:2,noli:27,noli:17,noli:47"
Yumucod,4,"Yumucod ang binata. | Yumucod ito sa kanila, pagkapugay ng canyang salacot. | Yumucod si Ibarra at yumao.","noli:41,noli:2,noli:13,noli:37"
calaking,4,"Bihag na bihag si Ibarra sa gayong calaking cagandahang loob: ngumingiti si Kapitang Tinong at kinucuyumos ang mga kamay. | Ipinakita nila sa cura ang buaya, datapwat tila mandin nalilibang ang isip sa ibang bagay, at kaya lamang pinansin ang sinalita sa kanya'y ng sa kanya'y sabihing si Ibarra ang may gawa ng gayong calaking sugat. | Lalong mainam ang anyo ng cabooan, lalong mahalaga at kanilang wiwicain: ¡gaano calaking pagod ang guinugol dito!","noli:2,noli:26,noli:24,noli:31"
casaganaan,4,"Hindi nagkikikibo ang teniente; nagsasalitaan ng masaya ang iba at kanilang pinupuri ang cabutiha't casaganaan ng haying pagkain. | Umaaraw na; humihihip ang amihan: napupucaw at namamasag ang mga alon sa paliguid ng buaya, at nagtatayo ng ""nga bundoc ng bula, na doo'y cumikintab ng buong casaganaan sa mga culay ang liwanag ng araw"", ayon sa saysay ng poetang si P.A. | Hindi ko dapat iwan sa tintero, na sa bahay ng nag-anyaya'y pinainom kami ng champaña at masasarap na mga licor ng buong casaganaan at cagandahang loob na siyang caugaliang hindi nagbabago ng kilalang mamumuhunan.","noli:50,noli:28,noli:3,noli:23"
cabooan,4,"—Sa halimbawa ... tungkol sa pamumuhay ng mga bayan ... sa buhay ng pakikipanayam, ang lacad ng pamamahala ng bayan, ang ucol sa religion, ang sa calahatan, ang catas, ang cabooan.... | Lalong mainam ang anyo ng cabooan, lalong mahalaga at kanilang wiwicain: ¡gaano calaking pagod ang guinugol dito! | Magaling ang pagkakalabas ni Chananay at ni Balbino, baga man may caunting pamamaos nila: isang pagkantang hidwa ng caunti sa musica ang ginawa ni Balbino, datapwat catacataca ang cabooan at ang kanilang pagpupumilit sa mabuting pagganap.","noli:31,noli:26,noli:28,noli:3"
licat,4,"Ang walang licat na paghahalihalili, ang capangitan ng asal ng mga matataas na puno, ang mga pagtatangkilic sa di marapat, ang camurahan at ang caiclian ng paglalacbay-bayan, ang siyang may sala ng lahat; pumaparito ang lalong masasama sa Peninsula, at kung may isang mabait na maparito, hindi nalalao't pagdaca'y pinasasama ng mga tagarito rin. | At dito'y gaya rin doong palibhasa'y ibig macapangyari ang isa't isa, nangagpapalagayang ang isa sa kanila'y labis (sa macatuwid ay dapat mawala ang isa sa kanila), at dito nanggagaling ang walang licat na samaan ng loob. | Walang licat ang canyang pamamalita ng ginagawa niyang mga paghahanda sa paglalacbay, pinagsicapan niyang isaulo ang mga pangalan ng mga duongang dinaraanan ng mga sasacyang patungo sa España, at nacalulugod na pakinggan siya sa pananalita:—""Aking makikita ang ismo ng canal ni Suez; sinasabi ni De Espadañang siya raw lalong maganda, at nalibot ni De Espadaña ang buong daigdig.","noli:11,noli:59,noli:4,noli:42"
hucbo,4,"—Naglilibot ng panahon iyon ang isang naging sundalo sa artilleria, na pinaalis sa hucbo dahil sa malabis na cagaspangan ng canyang asal at dahil sa camangmangang labis. | Hindi ko sinasaysay ang mga, religion ng mga bayan ng Ibaba ng Europa: ang mga religiong ito, palibhasa'y religion ng mga ""guerrero"", ng mga ""bardo"" at ng mga mangangaso, datapwat hindi religion ng mga filosofo, baga man nananatili pa ang kanilang mga pananampalataya at pati ng kanilang mga ""rito"" na pawang nangalangcap na sa religion cristiana; gayon ma'y hindi nangyaring sumama sila sa hucbo ng mga tampalasang nangloob sa Roma, at hindi rin sila nangyaring lumucloc sa Capitolio: palibhasa'y mga religion ng mga ulap, pawang nangapapawi sa catanghaliang sicat ng araw. | Tinatacot ang Gobierno sa panghihimagsik ng bayan, at tinatacot ang bayan sa mga hucbo ng Gobierno: nagmula rito ang isang magaang na larong nacacatulad sa nangyayari sa mga matatacutin kung sila'y pumapasoc sa mga malulungcot na lugar; ipinalalagay nilang mga ""fantasma"" ang kanilang sariling mga anino, at ipinalalagay nilang mga voces ng iba ang mga alingawngaw ng kanilang sariling mga voces.","noli:14,noli:4,noli:49,noli:25"
carruaje,4,"Sa pagka't kinacailangan niyang mabuhay, at hindi pahintulot sa kanya ang magtrabajo ng mabigat na macasisira ng aming capurihan, nagtamo siya, hindi ko alam kung sino ang sa kanya'y nagbigay, ng catungculang pagka maniningil ng buwis ng mga carruaje, calesa at iba pang sasacyan. | Marahang bumalic at nacakita siya ng isang nagdaraang carruaje; kinawayan niya ang cochero: | Iniligpit ng mag-asawa ng gabi ring iyon ang kanilang mga casangcapan, siningil si kapitang Tiago, na may ilang libo rin piso ang inabot, sa pagkagamot kay Maria Clara, at napatungo sila sa Maynila, pagka umagang umaga ng kinabukasan, na ang sinasacya'y ang carruaje ni kapitang Tiago.","noli:58,noli:4,noli:47"
tinacbo,4,"Napoot sa nangyari, tinacbo ang maniningil na kastila, hinawacan siya sa brazo at pinagwicaan siya ng mabibigat. | Napag-unawa ni don Filipo ang kanilang adhica at canyang tinacbo upang sansalain. | —ang biglang sinabi ng alferez, na dinaluhong ang cura; at tinacbo ang canyang revolver at sable na nacasabit sa pader.","noli:40,noli:4,noli:58,noli:54"
cochero,4,"Marahang bumalic at nacakita siya ng isang nagdaraang carruaje; kinawayan niya ang cochero: | —Marahil nanggaling ito sa calabozo—ang inisip ng cochero sa canyang sarili, saka hinaplit ng latigo ang canyang mga kabayo. | Ang cochero ni Sinang, na naghahatid dito at sa canyang pinsang babae sa isang mainam na carruajeng ""tres-por-ciento'y"" nagcaroon ng cawalang galangang sigawan siya ng ""¡tabi!","noli:4,noli:47"
linalic,4,"Sa pag-itan ng nanganganinag na damit na piña at sa paliguid ng canyang maputi at linalic na liig ay ""nangagkikisapan,"" gaya ng sabi ng mga tagalog, ang masasayang mga mata, ng isang collar na mga brillante. | Mga azul daw ang kanilang mga mata at ang kanilang mga buhoc; na sila'y may mga putong na coronang halaman sa tubig na may mga bulaclac na mapuputi't mapupula; manacanaca raw ipinamamalas ng mga bula ang kanilang parang linalic na catawang higuit sa bula ang caputian at kung ganap ng gabi'y kanilang pinasisimulaan ang kanilang mga calugodlugod na paglalaro, at kanilang ipinaririnig ang mga tinig na talinghagang tulad sa mga arpa sa langit; sa bihanan din namang ... | Pinanonood ng fraileng Acteon na namumutla at hindi cumikilos ang mahinhing Dianang iyon; ang mga mata niyang numiningning sa madilim na hungcag na kinalalagyan ay hindi nangapapagal ng pagtataca sa mga mapuputi at parang linalic na mga bisig, yaong magandang liig hanggang pa pasimula ng dibdib; ang maliliit at culay rosang mga paang nangaglalaro sa tubig, pawang pumupucaw sa abang cataohan niya ng cacaibang mga damdamin at nagpapapanaguinip ng mga bagong caisipan sa nilalagnat niyang budhi.","noli:22,noli:34,noli:24,noli:5"
sico,4,"Napapatong ang sico sa palababahan ng durungawan ng canyang ""celda"" at salo ng palad ng kamay ang putlai't payat na mukha, canyang pinanonood sa malayo ang isang bituing numiningning sa madilim na langit. | Naupo ang gobernadorcillo sa sillong nacalagay sa ibaba ng larawan ng hari, macaapat o macalimang umubo, hinaplos ang ulo at ang mukha, inilagay ang sico sa ibabaw ng mesa, inalis, muling umubo at gayon ang paulit-ulit na ginawa. | Namamasdan ang isang matandang lalaking mapanglaw ang pagmumukha, nacapulupot sa ulo niya ang isang bigkis na may dugo, nacalagay ang mga sico sa isang batong guinagawang pinaca mesa, at pinagninilay-nilay ang ilaw na sa gayong caraming usoc na ibinubuga'y bahagya na ang inilalaganap na liwanag: kung hindi sana talastas nating iyo'y isang yungib ng mga tulisan, mawiwica natin, sa pagbasa ng malaking pagngangalit sa mukha ng matandang lalaki, na siya ang Torre ng Gutom sa araw na sinusundan ng paglamon ni Ugolino sa canyang mga anak.","noli:20,noli:57,noli:45,noli:5"
pandac,4,"Palibhasa'y pandac, maliwanag ang culay, bilog ang katawan, at ang mukha, salamat sa saganang taba, na alinsunod sa mga nalulugod sa kanya'y galing daw sa langit, at anang mga kaaway niya'y galing daw sa mga dukha, siya'y mukhang bata kay sa tunay niyang gulang: sino ma'y maniniwalang tatatlompo't limang taon lamang siya. | —ang ibinubulong ng isang lalaking pandac at mataba sa tainga ng mga bagong dating;—paririto si kapitang Tiago at maglalagay ng bangca; may labing-walong libong dala si kapitang Joaquin. | Ang bayan, ang mga taong walang catungculan at walang mga dangal na caloob ng pamahalaa'y siyang nacalalaganap sa nangatitirang lugar sa plaza; may pas-ang bangco ang mga iba, na ang caraniwa'y hindi ng upuan kung di ng bigyang cagamutan ang pagka pandac: pinanggagalingan ang ganitong gawa ng maiingay na mga pagtutol ng mga walang bangco; pagkakagayo'y nangagsisipanaog agad-agad ang mga nacatayo sa bangco; ngunit hindi nalalao't sila'y muling pumapanhik, na parang walang ano mang nangyari.","noli:40,noli:53,noli:26,noli:6"
saclolo,4,"Kung dahil sa isang malaking caguipita'y manacanacang kinacailangan ang mga saclolo ng calangitan at walang makita agad kahi't isang candilang pula ng insic, kung magcagayo'y nakikiusap na siya sa mga santo at sa mga santang canyang pintacasi, at ipinangangaco sa kanila ang maraming bagay upang sila'y mapilitan at lubos mapapaniwalaang tunay na magaling ang canyang mga hangad. | Nang malapit na si Sisa sa mga catacot-tacot na mga taong yao'y nagpalingaplingap sa magcabicabila at nagcoconowang hindi niya nakikita ang canyang inahing manoc na pumipiyac at humihinging saclolo. | Ngunit caniyang taglay ang pagsang-ayon sa sawing capalaran, at humingi siyang saclolo sa pag-aalaala sa dinaanan at dinaraanan pang gutom kung sacali.","noli:21,noli:6,noli:42,noli:54"
ipinangangaco,4,"Kung dahil sa isang malaking caguipita'y manacanacang kinacailangan ang mga saclolo ng calangitan at walang makita agad kahi't isang candilang pula ng insic, kung magcagayo'y nakikiusap na siya sa mga santo at sa mga santang canyang pintacasi, at ipinangangaco sa kanila ang maraming bagay upang sila'y mapilitan at lubos mapapaniwalaang tunay na magaling ang canyang mga hangad. | Umaasa ang mga cacampi ni Doña Patrociniong pagkamatay nito'y maguiguing ""canonizada"", at si Kapitang Tiago ma'y sasamba sa kanya sa mga altar, bagay na sinasang-ayunan ni Kapitang Tiago at canyang ipinangangaco, mamatay lamang agad. | Ngunit aking ipinangangaco sa iyo, hindi ko sasactan ang sino mang walang casalanan.","noli:51,noli:6,noli:45"
nacaluhod,4,"Napapanood din doon ang isang San Antonio Abad, na may isang baboy sa tabi, at ang isip ng carapatdapat na Capitan, ang baboy na iyo'y macapaghihimalang gaya rin ni San Antonio, at sa ganitong cadahilana'y hindi siya, nangangahas tumawag sa hayop na iyon ng ""baboy"" kung di ""alaga ng santo señor San Antonio;"" isang San Francisco de Asis na may pitong pacpac at may habitong culay cafe, na nacapatong sa ibabaw ng isang San Vicente, na wala kung di dadalawang pacpac, ngunit may dala namang isang cornetin; isang San Pedro Martir na biyac ang ulo, at tangan ng isang di binyagang nacaluhod ang isang talibong ng tulisan, na na sa tabi ng isang San Pedro na pinuputol ang tainga ng isang moro, na marahil ay si Malco, na nangangatlabi at napapahindic sa sakit, samantalang tumatalaoc at namamayagpag ang sasabunging nacatuntong sa isang haliguing ""dorico"", at sa bagay na ito'y inaacala ni Kapitang Tiago, na nacararating sa paguiguing santo ang tumaga at gayon din ang mataga. | Ganito ang sinasabi ng isa sa mga matatandang babaeng nananamit ng guingon, si Hermana Pute baga, sa isang babaeng may anim na taon na ang gulang na canyang apo, na nacaluhod sa canyang tabi: | Na sa isang suloc si Ibarra; nacaluhod si Maria Clara sa malapit sa altar mayor, sa isang lugar na nagmagandang loob ang curang paalsan ng mga tao sa pamamag-itan ng mga sacristan.","noli:36,noli:30,noli:6"
nacararating,4,"Napapanood din doon ang isang San Antonio Abad, na may isang baboy sa tabi, at ang isip ng carapatdapat na Capitan, ang baboy na iyo'y macapaghihimalang gaya rin ni San Antonio, at sa ganitong cadahilana'y hindi siya, nangangahas tumawag sa hayop na iyon ng ""baboy"" kung di ""alaga ng santo señor San Antonio;"" isang San Francisco de Asis na may pitong pacpac at may habitong culay cafe, na nacapatong sa ibabaw ng isang San Vicente, na wala kung di dadalawang pacpac, ngunit may dala namang isang cornetin; isang San Pedro Martir na biyac ang ulo, at tangan ng isang di binyagang nacaluhod ang isang talibong ng tulisan, na na sa tabi ng isang San Pedro na pinuputol ang tainga ng isang moro, na marahil ay si Malco, na nangangatlabi at napapahindic sa sakit, samantalang tumatalaoc at namamayagpag ang sasabunging nacatuntong sa isang haliguing ""dorico"", at sa bagay na ito'y inaacala ni Kapitang Tiago, na nacararating sa paguiguing santo ang tumaga at gayon din ang mataga. | May isang buwan lamang na nacararating siya roon, halos ang lahat ay nakicapatid na sa V. | Ng una, ng kinacailangan nating lumigoy sa Cabo, hindi nacararating dito ang lubhang maraming; mga may masasamang caugalian, at hindi naman nacapaglacbay roon ang mga iba upang mangagasama!","noli:11,noli:34,noli:6,noli:46"
cohete,4,"Mahiguithiguit sa apat na raang piso ang nagugugol sa kanya sa dalawang misang iyon, datapwat maipalalagay na mura, kung pag-iisip-isipin ang capurihang tinatamo ng Ina ng Dios sa mga ruedang apoy, sa mga cohete, sa mga ""berso,"" at kung babalacbalakin ang pakinabang na kinakamtan sa buong isang taon dahil sa mga misang ito. | Dala po ninyo riyan, ginoong capitan, ang isang arrobang candilang galing sa tindahan ng insic; may mahiguit ng sampong taong aking ipinakikiusap sa bawa't bagong kapitang bumibili ng pararrayos, at pinagtatawanan ako ng lahat; gayon ma'y bumibili ng mga ""bomba"" at mga ""cohete"", at nangagbabayad ng mga repique ng mga campana. | ""Ng icasiyam na oras ng gabi ng araw na icasampo nitong buwan, araw na sinusundan ng fiesta, pagkatapos ng isang masarap at saganang hapunang inihandog sa amin ng Hermano Mayor, tinakhan naming lahat na mga kastila't mga fraileng na sa convento, ang caaliw-aliw na tugtog ng musicang may casabay na nagsisiksicang caramihang tao at ng ugong ng mga cohete at malalaking bomba, at pinamamatnugutan ng mga ginoo ng bayan, ang tinutungo'y ang convento upang kami'y sunduin at ihatid sa lugar na nahahanda at iniuucol sa amin at ng doo'y panoorin namin ang catuwaang palalabasin.","noli:14,noli:29,noli:6,noli:28"
incienso,4,"Pinagmamasdan niya ang ningas ng mga candila, ang usoc ng incienso, ang voces ng sacerdote at iba pa, at sa lahat ng bagay pinagsisicapan niyang mahiwatigan ang canyang maguiguing palad. | Amoy polvora, amoy bulaclac, amoy incienso, amoy pabango; pinatatacbo at pinasisigaw ang mga babae at pinapagtatawa ang mga bata ng mga bomba, ng mga cohete at ng mga buscapies. | Sa pagmamasid ng pagtanggap niya ng aso ng incienso, masasabing totoo nga ang sabi ni Galeno, na naniniwalang pumapasoc daw ang usoc sa bao ng ulo, pagkaraan sa butas ng ilong na ang tuloy ay sa salaang but-o, sa pagka't siya'y lumilindig, iniiling-ay ang ulo sa licod, pagkatapos ay lumalacad na patungo sa gitna ng altar ng lubhang malaking pagmamakisig at caguilasan, hanggang sa acalain ni capitan Tiagong daig niya sa cagalingang cumiya ang comedianteng insic ng gabing nagdaang nacadamit emperador, may pinta ang mukha may maliliit na bandera sa licod, ang balbas ay buntot ng kabayo at macapal ang ""suclas"" ng sapin.","noli:30,noli:38,noli:29,noli:6"
Cofradia,4,"Pinaniniwalaang bihirang matalo si Kapitang Tiago sa mga pakikipagpustahan, at ang canyang manacanacang pagkatalo'y nagmumula sa mga cadahilanang ang nagmisa'y namamalat, cacaunti ang mga ilaw, masebo ang mga ""cirio"", o napahalo kaya ang isang achoy sa mga salaping ipinagpamisa, at iba pa: ipinaaninaw sa kanya ng celadon ng isang Cofradia, na ang gayong pagkapalihis ng palad ay mga pagtikim lamang sa kanya ng Langit, at ng lalong mapapagtibay siya sa canyang pananampalataya at pimimintacasi. | Ang gawang ito'y siyang umaakit sa pagdidilidili ng matalas na caisipan at malumanay na maestro ng Cofradia ng Santisimo Rosario: | Nang macaraan ang ilang minuto'y tumugtog ang a las ocho sa relos ng simbahan, at ipinahayag ng campana ang oras ng mga kaluluwa; ngunit hindi inanyayahan ni Lucas makipagsugal sa kanya ang sino man, hindi tinawagan ang mga patay, na gaya ng iniaatas ng pamahiin; ang ginawa'y nagpugay at bumulong ng ilang panalangin, nagcruz ng buong cataimtimang tulad sa marahil ginagawa rin sa sandaling iyon ng puno ng Cofradia ng Santisimo Rosario.","noli:53,noli:52,noli:30,noli:6"
nagagalac,4,"Walang cayang umisip ng ano mang bagong bagay, nagagalac na sa canyang casalucuyang pamumuhay, kailan ma'y laguing laang tumalima sa catapustapusang Oficial quinto sa lahat ng mga oficina, maghandog ng mga hitang jamon, mga capon, mga pavo, mga bungang kahoy at halamang galing sa Sunsong sa alin mang panahon ng isang taon. | —Paparoonin mo siya sa bahay bucas, Petra,—anang matandang lalaki na totoong nagagalac;—¡tuturuan ko siya ng pagkakayas ng nito! | Nagpaalam si Ibarra ng macaraan ang ilang sandali, sa pagka't canyang nakitang walang salang papanglaw ang pagpupulong na iyon; maasim na matamis ang pagmumukha ni kapitang Tiago, hindi umiimic si Linares at nagmamasid, ang curang nagpapacunuwaring nagagalac ay nagsasalita ng mga cacaibang bagay.","noli:34,noli:51,noli:6,noli:54"
catapustapusang,4,"Walang cayang umisip ng ano mang bagong bagay, nagagalac na sa canyang casalucuyang pamumuhay, kailan ma'y laguing laang tumalima sa catapustapusang Oficial quinto sa lahat ng mga oficina, maghandog ng mga hitang jamon, mga capon, mga pavo, mga bungang kahoy at halamang galing sa Sunsong sa alin mang panahon ng isang taon. | Ang caguilaguilalas na lalang na ito ng Dios, itong hindi mapaglirip na himala ay ang maluwalhating si Diego de Alcala, na, gagamit ako ng isang pagsusumag, sa pagka't nacatutulong na magaling ang mga pagsusumag sa pagka unawa ng mga bagay na hindi mapag-abot ng isip, ayon sa wica nga ng iba, sinasabi ko nga na ang dakilang santong ito'y isang catapustapusang cawal, isang ""ranchero"" (tagapagpacain) lamang sa aming lubhang macapangyarihang hucbong pinag-uutusan ng aming tulad sa serafing Amang si San Francisco, na siyang ikinararangal kong kinapapanigang ako'y cabo o sargento sa talaga't awa ng Dios. | Samantalang nangagsisigawan, isinasahod ang kamay, kinacalog sa kamay ang caunting salaping pinacacalasing; samantalang hinihicap sa bulsa ang catapustapusang salapi, o sacali't walang salapi ay nangangaco, at ipinangangacong ipagbibili ang calabaw, ang malapit ng anihin sa bukid, at iba pa; dalawang bagongtao, na wari'y magcapatid, sinusundan ng mga paninging nananaghili ang mga naglalaro, nangagsisilapit, bumubulong ng ilang kiming pananalitang sino may walang nakikinig, nalalao'y lalong nangalulungcot at nangagtitinginang masasama ang loob at nangagngingitngit.","noli:31,noli:6,noli:54,noli:46"
capon,4,"Walang cayang umisip ng ano mang bagong bagay, nagagalac na sa canyang casalucuyang pamumuhay, kailan ma'y laguing laang tumalima sa catapustapusang Oficial quinto sa lahat ng mga oficina, maghandog ng mga hitang jamon, mga capon, mga pavo, mga bungang kahoy at halamang galing sa Sunsong sa alin mang panahon ng isang taon. | —ang sagot ng ""cocinero"", na bahagya na sinulyap ang mga gulay na iyon, na ang canyang ginagawa ang siyang totoong pinakikialaman: siya'y naghihimulmol ng isang capon. | —¿Ano ang cahulugan niyong mga inahing manoc, mga capon at mga lechong itatapon sa dagatan?","noli:20,noli:18,noli:6,noli:57"
Gobernadorcillo,4,"Naging Gobernadorcillo siya ng ""gremio"" ng mga ""mestizong sangley"", baga man maraming nagsitutol, sa pagka't hindi siya nila ipinalalagay na mestizong insic. | Ang pagmagat ng isa'y Ang pag-hahalal ng Gobernadorcillo, ito'y isang comediang patupatuloy ang pananalita, nababahagui sa limang pangcat, catha ng isa sa mga nariritong caharap. | Samantalang hinihintay nila sa isang maliit na bahay, na na sa labas ng bayan ang pagdating ng Capitan General, ito ang sinasabi ng Gobernadorcillo:","noli:20,noli:38,noli:6,noli:35"
casipagan,4,"Sa dalawang taong canyang pangangapita'y nacasira siya ng sampong frac, sampong sombrerong de copa at anim na baston: ang frac at sombrero de copa'y sa Ayuntamiento, sa Malacanyang at sa cuartel; ang sombrero de copa at ang frac ay sa sabungan, sa pamilihan, sa mga procesion, sa mga tindahan ng mga insic, at sa ilalim ng sombrero at sa loob ng frac ay si Kapitang Tiagong nagpapawis at nag-eesgrima ng bastong may borlas, na nag uutos, naghuhusay at guinugulo ang lahat, taglay ang isang cahangahangang casipagan at isang pagkamatimtimang lalo pa manding cahangahanga. | Iniiwan ang caugaliang anyo sa araw-araw, at gumagamit ang bayan ng isang walang cahulilip na casipagan sa bahay, sa daan, sa simbahan, sa sabungan at sa cabukiran; pinupuno ang mga bintana (durungawan o linib) ng mga ""bandera"" at ng mga ""damascong may iba't ibang culay; napupuspos ang alang-alang ng mga ugong ng mga putoc at ng musica; nasasabugan at nalalaganapan ang hangin ng mga cagalacan. | Ang canyang casipagan, ang catamisan ng canyang asal ang nacahicayat na siya'y caguiliwan ng lahat ng hindi nacatatalos ng unang pamumuhay niya.","noli:50,noli:53,noli:26,noli:6"
